id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
007470a359815f0601cbad8f,Show new releases,Visa nya utgåvor,Apple2TS,browser-emulator-sv-reviewed-20260919,collection.showNewReleases,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,e125e901d7b4f3de30359d6e,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Apple2TS/browser-emulator-sv-reviewed-20260919.po,39c17ea610551972f28c05fd7681f927d4ef8cab98e2da2d586ebe0ffbe929d5,{}
00b5b03efefe41e4addda5c3,Slot Configuration,Kortplatskonfiguration,Apple2TS,browser-emulator-sv-reviewed-20260919,machine.slotConfigurator,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,4f65e7a9a31f1b9485aeb734,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Apple2TS/browser-emulator-sv-reviewed-20260919.po,39c17ea610551972f28c05fd7681f927d4ef8cab98e2da2d586ebe0ffbe929d5,{}
00f696aef8c3078d467bcefc,Silver CJK Pixel Font,Silver CJK-pixeltypsnitt,Apple2TS,browser-emulator-sv-reviewed-20260919,help.resourceLinks.silverCjkFont,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,5a9d5e9f3e79e762f0059a15,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Apple2TS/browser-emulator-sv-reviewed-20260919.po,39c17ea610551972f28c05fd7681f927d4ef8cab98e2da2d586ebe0ffbe929d5,{}
01269199728cd39cca44be4d,Go Back in Time,Gå tillbaka i tiden,Apple2TS,browser-emulator-sv-reviewed-20260919,debugControls.goBackInTime,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,6dc8bab0588c48b803d23cdd,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Apple2TS/browser-emulator-sv-reviewed-20260919.po,39c17ea610551972f28c05fd7681f927d4ef8cab98e2da2d586ebe0ffbe929d5,{}
014a0a9af3c333ed14a3dcaa,ImageWriter II (Slot 1),ImageWriter II (kortplats 1),Apple2TS,browser-emulator-sv-reviewed-20260919,print.imageWriterII,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,2ab729f3f2cb8fb08bff5ed4,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Apple2TS/browser-emulator-sv-reviewed-20260919.po,39c17ea610551972f28c05fd7681f927d4ef8cab98e2da2d586ebe0ffbe929d5,{}
0287c28bb0e7a28753890eef,Select auxiliary memory for reads,Välj extraminne för läsning,Apple2TS,browser-emulator-sv-reviewed-20260919,disassembly.auxMemory.readAuxiliary,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,377158dea7b6756306efa428,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Apple2TS/browser-emulator-sv-reviewed-20260919.po,39c17ea610551972f28c05fd7681f927d4ef8cab98e2da2d586ebe0ffbe929d5,{}
0383186202884e579de48033,Pause,Pausa,Apple2TS,browser-emulator-sv-reviewed-20260919,debugControls.pause,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,ff3d75dbe5e347968a6709a0,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Apple2TS/browser-emulator-sv-reviewed-20260919.po,39c17ea610551972f28c05fd7681f927d4ef8cab98e2da2d586ebe0ffbe929d5,{}
03c3b04a111c3b72d9ad92a5,Stop Script,Stoppa skript,Apple2TS,browser-emulator-sv-reviewed-20260919,expectin.stopScript,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,1b7b42855db8f98344ccfaf6,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Apple2TS/browser-emulator-sv-reviewed-20260919.po,39c17ea610551972f28c05fd7681f927d4ef8cab98e2da2d586ebe0ffbe929d5,{}
04d91fef0c5cbe19e39dfd63,Close,Stäng,Apple2TS,browser-emulator-sv-reviewed-20260919,tour.close,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,d210ecf84b564dc95bd624fa,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Apple2TS/browser-emulator-sv-reviewed-20260919.po,39c17ea610551972f28c05fd7681f927d4ef8cab98e2da2d586ebe0ffbe929d5,{}
05287348e830a17aae3994db,Click to hide,Klicka för att dölja,Apple2TS,browser-emulator-sv-reviewed-20260919,disk.clickToHide,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,9ec6f137d72e147344e0f443,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Apple2TS/browser-emulator-sv-reviewed-20260919.po,39c17ea610551972f28c05fd7681f927d4ef8cab98e2da2d586ebe0ffbe929d5,{}
