id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0014587e2233dd1ea98b6468,NMR Spectra,NMR-spektra,Avogadro,avogadrolibs-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,6baa2f56de19ea5a704ce2f2,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Avogadro/avogadrolibs-sv-reviewed-20260919.po,ca38fba633d4571826383c3c2666bc5d0336e7c666bf79025613a984f7c43bbd,{}
00216ec109eefad1ca0dfcdf,System Language,Systemspråk,Avogadro,avogadroapp-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,c8039c4b922d5af93cd3de1f,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Avogadro/avogadroapp-sv-reviewed-20260919.po,86915748dda605d49f8fb8c6ac78f27ed46dd4d584e0770b531f51528db1ad09,{}
004b82468deec0ea37174cf0,Optimization algorithm:,Optimeringsalgoritm:,Avogadro,avogadrolibs-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,5fb30f596ac69dc1362e800d,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Avogadro/avogadrolibs-sv-reviewed-20260919.po,ca38fba633d4571826383c3c2666bc5d0336e7c666bf79025613a984f7c43bbd,{}
005849b4ef187fa1afed2ced,Loose,Generös,Avogadro,avogadrolibs-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,04916711559fbc8a5e19fdb2,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Avogadro/avogadrolibs-sv-reviewed-20260919.po,ca38fba633d4571826383c3c2666bc5d0336e7c666bf79025613a984f7c43bbd,{}
0077f57817f9edf08f1f0a48,Fill Translation Cell…,Fyll translationscell…,Avogadro,avogadrolibs-sv-reviewed-20260919,fill the translationally unique repeat unit,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,fac3ed9f439507130738ed5c,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Avogadro/avogadrolibs-sv-reviewed-20260919.po,ca38fba633d4571826383c3c2666bc5d0336e7c666bf79025613a984f7c43bbd,{}
00d9c7ffb37209dc56dbff4e,&Load data…,&Läs in data…,Avogadro,avogadrolibs-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,bd27db06ecb8902a03816732,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Avogadro/avogadrolibs-sv-reviewed-20260919.po,ca38fba633d4571826383c3c2666bc5d0336e7c666bf79025613a984f7c43bbd,{}
01054e176245bb5a543f2cf7,Add Hydrogens,Lägg till väteatomer,Avogadro,avogadrolibs-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,cf2026d1b4cf873c30a4f638,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Avogadro/avogadrolibs-sv-reviewed-20260919.po,ca38fba633d4571826383c3c2666bc5d0336e7c666bf79025613a984f7c43bbd,{}
013148bb03c6d434c159b9db,Residue Label:,Restetikett:,Avogadro,avogadrolibs-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,acec935dfeb0df1219f5a699,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Avogadro/avogadrolibs-sv-reviewed-20260919.po,ca38fba633d4571826383c3c2666bc5d0336e7c666bf79025613a984f7c43bbd,{}
0159a98950644b552f19be2b,Change Atom Hybridization,Ändra atomhybridisering,Avogadro,avogadrolibs-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,4be95f123d6cf5c99150c670,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Avogadro/avogadrolibs-sv-reviewed-20260919.po,ca38fba633d4571826383c3c2666bc5d0336e7c666bf79025613a984f7c43bbd,{}
018a089915651693321a6c1a,All files,Alla filer,Avogadro,avogadrolibs-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,eeb02d3305c61e56788a4275,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Avogadro/avogadrolibs-sv-reviewed-20260919.po,ca38fba633d4571826383c3c2666bc5d0336e7c666bf79025613a984f7c43bbd,{}
