id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
1e74d83d08be271783be6f87,Look up,Slå upp,Barcode-Buddy,fuzzy-sv-reviewed-20260920,,,project-context,cd3ede45734e316d2a9a14c2,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Barcode-Buddy/fuzzy-sv-reviewed-20260920.json,51068d2b0af6618aae0c7531008a2d39594ce47e8b4ad4f278d3dfba6cd28e7d,"{""artifact"":""https://hosted.weblate.org/api/units/68246150/"",""sha256"":""36a8406802793bb7ebaca39c43f870f86cea77a42f34c376e3bf16ca6091c4d2""}"
26b3fa1999c4b5ef62b0b838,Reverting back to Consume,Återgår till Förbruka,Barcode-Buddy,fuzzy-sv-reviewed-20260920,,,project-context,8bddf4eda9931acf332fa033,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Barcode-Buddy/fuzzy-sv-reviewed-20260920.json,51068d2b0af6618aae0c7531008a2d39594ce47e8b4ad4f278d3dfba6cd28e7d,"{""artifact"":""https://hosted.weblate.org/api/units/68246140/"",""sha256"":""6d3af558e002f615188e44803d9075e71731b96a77fc1db28c269e40404d4700""}"
2e65b01bfc3364191a2ba539,Consume,Förbruka,Barcode-Buddy,fuzzy-sv-reviewed-20260920,,,project-context,138b03ad370e98986ba810b1,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Barcode-Buddy/fuzzy-sv-reviewed-20260920.json,51068d2b0af6618aae0c7531008a2d39594ce47e8b4ad4f278d3dfba6cd28e7d,"{""artifact"":""https://hosted.weblate.org/api/units/68246159/"",""sha256"":""1de7a539560675454f1fdb97ee05f2d9f0e1c9cc29a3e0cc545efb3f56c18800""}"
36dd0a9e64a46c2cee3805d8,Create,Skapa,Barcode-Buddy,fuzzy-sv-reviewed-20260920,,,project-context,017542589fd6d4503e4e5ba7,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Barcode-Buddy/fuzzy-sv-reviewed-20260920.json,51068d2b0af6618aae0c7531008a2d39594ce47e8b4ad4f278d3dfba6cd28e7d,"{""artifact"":""https://hosted.weblate.org/api/units/68246154/"",""sha256"":""fd1bc6428d488b50d10dae73c047b3fd151a8076b771f75ead7e19237ce2821a""}"
3f78cfdc08dd9dcf02b11420,Action,Åtgärd,Barcode-Buddy,fuzzy-sv-reviewed-20260920,,,project-context,85fb1db845c5c8a02734648e,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Barcode-Buddy/fuzzy-sv-reviewed-20260920.json,51068d2b0af6618aae0c7531008a2d39594ce47e8b4ad4f278d3dfba6cd28e7d,"{""artifact"":""https://hosted.weblate.org/api/units/68246153/"",""sha256"":""7d5f0a26d1cf415473dbc890bf14d02ebda2340d36fd96623a032d20f4b7b2d7""}"
4f87bcfe2f43998786c75e25,Quantity,Mängd,Barcode-Buddy,fuzzy-sv-reviewed-20260920,,,project-context,b77b30822fb9233f43191858,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Barcode-Buddy/fuzzy-sv-reviewed-20260920.json,51068d2b0af6618aae0c7531008a2d39594ce47e8b4ad4f278d3dfba6cd28e7d,"{""artifact"":""https://hosted.weblate.org/api/units/68246151/"",""sha256"":""12d4fe3880a16d145cf2c5f8f3bbbbe2eea01b71343e3911c3d79c2a17d4d63f""}"
524831bd62407a0d4f5233c1,Unknown Barcodes,Okända streckkoder,Barcode-Buddy,fuzzy-sv-reviewed-20260920,,,project-context,d7c6e0257aca21cf021fb207,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Barcode-Buddy/fuzzy-sv-reviewed-20260920.json,51068d2b0af6618aae0c7531008a2d39594ce47e8b4ad4f278d3dfba6cd28e7d,"{""artifact"":""https://hosted.weblate.org/api/units/68246143/"",""sha256"":""c830e63326bcf80efb253069e37081d2f1509c047d28207677b9549bf157518a""}"
57ce7519216615961abc4eca,Delete all,Ta bort alla,Barcode-Buddy,fuzzy-sv-reviewed-20260920,,,project-context,0253fc994cc37261b04d29fe,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Barcode-Buddy/fuzzy-sv-reviewed-20260920.json,51068d2b0af6618aae0c7531008a2d39594ce47e8b4ad4f278d3dfba6cd28e7d,"{""artifact"":""https://hosted.weblate.org/api/units/68246147/"",""sha256"":""10f19936958ab016f79a26fd354fde1b942ca154371090b7a4270e7efc7cf739""}"
5ada52b7dd1df4c2da8523c3,Remove,Ta bort,Barcode-Buddy,fuzzy-sv-reviewed-20260920,,,project-context,71f07f2de0e812a214f529a0,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Barcode-Buddy/fuzzy-sv-reviewed-20260920.json,51068d2b0af6618aae0c7531008a2d39594ce47e8b4ad4f278d3dfba6cd28e7d,"{""artifact"":""https://hosted.weblate.org/api/units/68246155/"",""sha256"":""6359bde25676f90884923fa3a62dcf5b9ba0ce24b5d067e46a486ed6e31eac03""}"
5e5b3598471a584d2d5904e5,New Barcodes,Nya streckkoder,Barcode-Buddy,fuzzy-sv-reviewed-20260920,,,project-context,3325b85c0d89f066dcea76e0,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Barcode-Buddy/fuzzy-sv-reviewed-20260920.json,51068d2b0af6618aae0c7531008a2d39594ce47e8b4ad4f278d3dfba6cd28e7d,"{""artifact"":""https://hosted.weblate.org/api/units/68246142/"",""sha256"":""d117bcb430fab95b738f78db368b95f7c2c148999056ea88b5079793c3d57774""}"
