id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
00028d26e73a571c9d2ab063,Paste Flipped,Klistra in vänd,Blender,blender-ui-ui-sv.po,Operator,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,730af4c4e41ac4bc303a8a28,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
000b8b08a82166d6b87cba47,Toggle collapsing of selected nodes,Växla mellan att dölja och visa valda noder,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,8e7d16ec879db84e2095fc75,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
000f7cbae027410c11071ec5,UV Opacity,UV-opacitet,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,65c196dbc7f40494a946a27e,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
001415726511bde5f09a62f4,Image buffer pixels in floating-point values,Bildbuffertpixlar i flyttalsvärden,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,8d6a3c37be1a6efa9fd42999,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
0016d3eb8e811a88d3121d15,Image brightness scale,Bildens ljusstyrka skala,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,b2a1abe66a4586577e331ac4,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00194d196ceaff25794c9b86,Specifies the strength of the despill,Anger styrkan på despill,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,6a55b9718bb843a373b66749,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
001b7a55ab729b610143531f,Index of this point,Index för denna punkt,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,f6b31cbaef8c2b884103f2e4,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
0020c3bb41b00f9a2be671a3,32-bit integer,32-bitars heltal,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,9f6240d891172da869000269,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
0021d6ee4368782a1b19b95a,Active F-Curve is not editable,Aktiv F-kurva kan inte redigeras,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,168f99d3e2a9f441e4cad2d2,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
0023b66519a0277c8dff6775,Control points of the curve,Kontrollpunkter på kurvan,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,f96078ae986c8ac906f1973a,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00327e100fa27683ce86bd0b,Image used as stencil,Bild som används som schablon,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,92d787e452807bd4cc2ce550,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
0036d0ce63d46bd5a2f8a68c,Filebrowser Parameter,Filbläddringsparameter,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,9248555167869a2fb9418d6c,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
0039ad3e52061936f2fa5658,View Perspective,Visa perspektiv,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,2927a53c3e0c5d7693374d7f,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
003b2310afd50da14562571a,Vertex group to control field,Vertex-gruppen ska kontrollera fältet,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,5975a7e88df54f098c1a1e2e,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
003e25faa07bdd145833ed85,Delete Asset Catalog,Ta bort tillgångskatalog,Blender,blender-ui-ui-sv.po,Operator,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,880eb882c210a304d7a7e3ab,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
0049281ddeaaf455f98a29d5,Do not propagate any messages upstream,Sprid inte några meddelanden uppströms.,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,b28b49fe44d9c61cbbb5e197,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
004a6f9635f3a38e9303a026,Exclude Names,Uteslut namn,Blender,blender-ui-sv-delta-18-of-20.po,,Bilingual translation changed in reviewed commit: l10n: archive reviewed Blender UI import deltas,project-context,a0c89d513c85edfab5cc934d,review-commit,https://github.com/yeager/translations/blob/7dae5a422e2bcfddce5be8df0ed7a09f9f1f31fe/Blender/blender-ui-sv-delta-18-of-20.po,4ecb95d05068db7550b2f629e602431c29cfdcf9a32c7754f854324f259ee30b,{}
004bc837896f51fb6a6af8e0,Unable to create socket,Kan inte skapa socket,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,1cfc47e4770d7785e4ae9a30,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
004f8bb0b55d7f56df68f9b3,Set Goal Weight,Ställ in målvikt,Blender,blender-ui-ui-sv.po,Operator,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,fc2c3610a4fd3c8a6c3f0756,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00556d8a5efbfc189ff00a47,Object should be of mesh type,Objektet ska vara av nät-typ,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,50d86fdf94c7642052ea97da,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00569582842b2964b81aa1ee,Move is affected by snapping settings,Flyttningen påverkas av snäppinställningarna,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,d796010075f274f03dd424c4,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
005f2bf3a5fb078782b21a05,Settings are inside the Particles tab,Inställningarna finns under fliken Partiklar.,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,226d71e232bf30e0ec7f3bd6,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
0060dea62e7ddcfb95e0ba0a,Refit,Ombyggnad,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,fa094bb0265e401c0e53b028,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00625ae1b35fac9f30c4ad98,Deselect all characters,Avmarkera alla tecken,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,8dfdd8809ad94fff389be501,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
0064ec6359c6d3b6bf8d9f44,Aligned Single,Justerad singel,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,546cc7320ef6d8eca9b54020,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
0068a17f169bfb2b86d795e1,Depth of Field,Skärpedjup,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,04892540d7274de88f5500a4,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
006b84a06e0e9fe137207c03,Sample Even Lengths,Exempel på jämna längder,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,dac2e4764db3628df28da1a9,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
006d121785f2598f0c495ddb,Linear ARRI Wide Gamut 3,Linjär ARRI Wide Gamut 3,Blender,blender-ui-sv-delta-02-of-20.po,Color Management,Bilingual translation changed in reviewed commit: l10n: archive reviewed Blender UI import deltas,project-context,e50e478270c508ba084d845a,review-commit,https://github.com/yeager/translations/blob/7dae5a422e2bcfddce5be8df0ed7a09f9f1f31fe/Blender/blender-ui-sv-delta-02-of-20.po,5364bb3fc6a90988d93e7a230f130f9bdeb0f561ae6c2be15a87e587221cf28b,{}
006f794b2c337409d16702e8,Align Rotation to Target,Justera rotation mot mål,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,e19905133f971147b14387ca,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
007149e323a2671ec08c2cae,Create an optional control,Skapa en valfri kontroll,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,23cbdaeea122193c70dba36b,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00775556ba3d4a6923e2261a,Accessibility,Tillgänglighet,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,e5d2a41a03e4b0db880641ab,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00805f7938b224394265ef50,Closest Weight,Närmaste vikt,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,df68fc63b89076a32244ab57,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00816054d17176c8bff3e1a0,Weight Paint Toggle Direction,Viktmålning Växla riktning,Blender,blender-ui-ui-sv.po,Operator,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,8385a649d2e15aa114d3cae0,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
008b88eaf62ce7c861f3350c,Settings for Grease Pencil brush,Inställningar för Grease Pencil-pensel,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,3a3dfc8f0661e2dafb04d826,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
008eaeabc0b7ebb2beb318f1,Invert layer filter,Invertera lagerfilter,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,dd45eb07be2eeb1bba5d59d4,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
008fc25ef857a0d6d049226c,Original Plane,Originalplan,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,2b17d0bbf388eb07fdc9185f,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
0097e144f61bf75051f4797f,Kink Amplitude Factor,Kinkamplitudfaktor,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,24c59cee28cd7ddd60a53d25,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00996168d7412a1becc1fbc4,Fuel field,Bränslefält,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,60cf28299ecad2df5d440d72,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00a882fbea38244eaa000349,Add sphere to mesh interactively,Lägg till sfär till nätet interaktivt,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,b5dd63f0ed1a18b93c8a2f52,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00ad5941a9f64ce6fad2ffea,Land Personal Space,Mark Personligt utrymme,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,37bc97574cc64de9dba6fc7e,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00aed320defa7b3da0dd2c0b,Operator Preset,Operatörsinställning,Blender,blender-ui-ui-sv.po,Operator,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,34775934340324c345a9d6a9,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00af5a3f715bac22a11dbc56,Horizontal Split,Horisontell delning,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,4e0ebc8de80d989f81701be0,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
00b5b17bba09dc3ee1f7d1ed,Denoising Data,Brusreduceringsdata,Blender,blender-ui-sv-delta-17-of-20.po,Render Layer,Bilingual translation changed in reviewed commit: l10n: archive reviewed Blender UI import deltas,project-context,6910e4d337e62e8d74d7bd65,review-commit,https://github.com/yeager/translations/blob/7dae5a422e2bcfddce5be8df0ed7a09f9f1f31fe/Blender/blender-ui-sv-delta-17-of-20.po,63ea3db4d62b645002e2025be6f73e74edad7a49fa8505a15d672d7e8cb39882,{}
00b9d809914f703ca05b3c53,Custom color of the node body,Anpassad färg på nodens kropp,Blender,blender-ui-ui-sv.po,,Bilingual translation changed in reviewed commit: Update Blender UI Swedish review copy,project-context,f890cc5027b60ba5e5667b94,review-commit,https://github.com/yeager/translations/blob/b1d903fd50bdc1cbe4ea5ce321a4304f4d38137f/Blender/blender-ui-ui-sv.po,a612a523affa0974647a3b0063d79202666c573f86d5e2c697ed98d5743089c1,{}
