id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0d9c9819f68364bb8b53d4a2,Can Build,Kan byggas,BrickStore,sv-published-20260920,SelectionInfoDialog,,project-context,7500f346383f716f7cd5bbf1,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-published-20260920.json,6927c3e164cb36cd225263a8cc85d0971bc0ea41810b03b543f1848d8c06ae23,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json"",""sha256"":""65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41""}"
0ee33dca421cc69dbff7ece9,(empty),(tom),BrickStore,sv-published-20260920,Application,,project-context,18b20e91b749987e928ab921,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-published-20260920.json,6927c3e164cb36cd225263a8cc85d0971bc0ea41810b03b543f1848d8c06ae23,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json"",""sha256"":""65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41""}"
1ce5c9a89e2c1b7484e5ce71,(empty),(tom),BrickStore,sv-pending-20260919,Application,,project-context,7e925dd82508447fd877059d,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json,65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41,{}
21a7d86fcefd6f0c1c7fcebd,Failed to download exchange rates.,Det gick inte att hämta växelkurser.,BrickStore,sv-pending-20260919,Currency,,project-context,ce0cb1a1f606dd212867ad3d,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json,65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41,{}
281b77f39235e2b46acae6d9,international,internationell,BrickStore,sv-pending-20260919,ImportCartDialog,,project-context,dee0aa84c1072aca82cb2741,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json,65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41,{}
32c800bfd4540655874e866f,received,mottagen,BrickStore,sv-published-20260920,ImportOrderDialog,,project-context,6d571b34df0f66219f7c0874,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-published-20260920.json,6927c3e164cb36cd225263a8cc85d0971bc0ea41810b03b543f1848d8c06ae23,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json"",""sha256"":""65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41""}"
33899d175a38c347b57de873,Add Items,Lägg till objekt,BrickStore,sv-pending-20260919,View,,project-context,fac47d6cad8b1eac87b0c604,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json,65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41,{}
33fdbfb5599d77baab3fd08f,Simplify Latin characters,Förenkla latinska tecken,BrickStore,sv-pending-20260919,OrderInformationDialog,,project-context,70cda740258eadfa8b66e3dd,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json,65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41,{}
3ba1e5f049e359dc6a7ec277,Alternate id,Alternativt id,BrickStore,sv-published-20260920,BrickLink::ToolTip,,project-context,99241719e9d1bcd379810880,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-published-20260920.json,6927c3e164cb36cd225263a8cc85d0971bc0ea41810b03b543f1848d8c06ae23,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json"",""sha256"":""65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41""}"
461e7236691c3198c59b2c96,No wanted lists,Inga önskelistor,BrickStore,sv-pending-20260919,ImportWantedListDialog,,project-context,10f4e13c8316d958dd660797,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json,65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41,{}
4929468c81d6e0057d3a4165,Copy alternate id,Kopiera alternativt ID,BrickStore,sv-pending-20260919,ActionManager,,project-context,bfd79f916fb3d6992b81eec0,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json,65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41,{}
4bdfee1c91b10d008fd14b0a,Consists Of,Består av,BrickStore,sv-pending-20260919,SelectionInfoDialog,,project-context,c713993b77ee75e316fea58f,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json,65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41,{}
4f54d975ce5423689775490d,Access Token,Åtkomsttoken,BrickStore,sv-published-20260920,SettingsDialog,,project-context,6dbac57fd8e251d009688988,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-published-20260920.json,6927c3e164cb36cd225263a8cc85d0971bc0ea41810b03b543f1848d8c06ae23,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json"",""sha256"":""65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41""}"
50849e744e6843fba2fa0052,Alternate id,Alternativt ID,BrickStore,sv-pending-20260919,BrickLink::ToolTip,,project-context,889d90ac82d98885ffda006c,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json,65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41,{}
6ec5f7e0e10fe50581cf943a,There is no camera connected.,Ingen kamera är ansluten.,BrickStore,sv-published-20260920,ItemScannerDialog,,project-context,77d7de666de589f6881adc1f,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-published-20260920.json,6927c3e164cb36cd225263a8cc85d0971bc0ea41810b03b543f1848d8c06ae23,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json"",""sha256"":""65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41""}"
76051733145490f616d90180,BrickStore was updated:,BrickStore uppdaterades:,BrickStore,sv-published-20260920,CheckForUpdates,,project-context,d03b1a323231977516563fc8,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-published-20260920.json,6927c3e164cb36cd225263a8cc85d0971bc0ea41810b03b543f1848d8c06ae23,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json"",""sha256"":""65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41""}"
78b7fddefd532eb428f8f653,Retry,Försök igen,BrickStore,sv-published-20260920,ItemScannerDialog,,project-context,76e1b9b9a5096b2a3e4bd7d1,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-published-20260920.json,6927c3e164cb36cd225263a8cc85d0971bc0ea41810b03b543f1848d8c06ae23,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json"",""sha256"":""65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41""}"
7bb415f8c624add1eb75b8bf,domestic,inhemsk,BrickStore,sv-pending-20260919,ImportCartDialog,,project-context,ec70d8e439ef3c0ce4c9b526,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/BrickStore/sv-pending-20260919.json,65e98c05eab5240833f7e98dec5805b2f1417af4406c28ee0b13d19a05775e41,{}
