id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
00e01a31804e397c36ae8fcd,Sparkle Size,Glitterstorlek,Burn-My-Windows,core-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,78b978184279230dcb13164f,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Burn-My-Windows/core-sv-reviewed-20260919.po,b46c48194d2ec41aa135229920ede77ef36e328393a550027034e75d9700ac29,{}
02db39e27d131f3d8d7b2d7f,Glide,Glid,Burn-My-Windows,core-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,ad1e3d6b64f4514fff3516a3,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Burn-My-Windows/core-sv-reviewed-20260919.po,b46c48194d2ec41aa135229920ede77ef36e328393a550027034e75d9700ac29,{}
037fa997824693cc825d1e30,Open Effect-Profile Directory,Öppna katalogen för effektprofiler,Burn-My-Windows,core-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,801337bd9d19bfff927c7c5c,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Burn-My-Windows/core-sv-reviewed-20260919.po,b46c48194d2ec41aa135229920ede77ef36e328393a550027034e75d9700ac29,{}
0494b472461e9b64b7c489b6,Enable All,Aktivera alla,Burn-My-Windows,core-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,07afbea8cdb505c19f3c4e03,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Burn-My-Windows/core-sv-reviewed-20260919.po,b46c48194d2ec41aa135229920ede77ef36e328393a550027034e75d9700ac29,{}
08a39d5040a334255f6fc9b4,Color Scheme,Färgschema,Burn-My-Windows,core-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,a3c0d7f5a62589ee0e3c3204,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Burn-My-Windows/core-sv-reviewed-20260919.po,b46c48194d2ec41aa135229920ede77ef36e328393a550027034e75d9700ac29,{}
09cadce48c50345f18599054,Red Speed,Röd hastighet,Burn-My-Windows,core-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,43595b09860c0c4d9d2d3d41,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Burn-My-Windows/core-sv-reviewed-20260919.po,b46c48194d2ec41aa135229920ede77ef36e328393a550027034e75d9700ac29,{}
0c6d75802b4449c9bf89861a,Power Mode,Energiläge,Burn-My-Windows,core-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,0eba5e16e23bddf788f94b3b,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Burn-My-Windows/core-sv-reviewed-20260919.po,b46c48194d2ec41aa135229920ede77ef36e328393a550027034e75d9700ac29,{}
0d8c7723a0cd8d48efbdc4d6,Saturation,Mättnad,Burn-My-Windows,core-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,3f472721921a7b2a9d2ce655,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Burn-My-Windows/core-sv-reviewed-20260919.po,b46c48194d2ec41aa135229920ede77ef36e328393a550027034e75d9700ac29,{}
0e8bc2b35d820ab58a7a4f96,8Bit Plumber,8-bitars rörmokare,Burn-My-Windows,core-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,b4a92e932fac10c3ff08ff37,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Burn-My-Windows/core-sv-reviewed-20260919.po,b46c48194d2ec41aa135229920ede77ef36e328393a550027034e75d9700ac29,{}
0f945000c867274d98a6e007,Rainbow 🌈,Regnbåge 🌈,Burn-My-Windows,core-sv-reviewed-20260919,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,ac84750000cb14350c393a61,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Burn-My-Windows/core-sv-reviewed-20260919.po,b46c48194d2ec41aa135229920ede77ef36e328393a550027034e75d9700ac29,{}
