id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0541750e24fc24bd6f43f700,Unprotected,_Ställ in proxy,Carburetor,carburetor-sv-pending-20260918,,,project-context,06ec693d80b66b5de06269e5,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Carburetor/carburetor-sv-pending-20260918.json,70f531141fba0e8c7bcef102dde99fa3c0565dc694d1cd9ddc9fdec368e9f853,"{""artifact"":""https://hosted.weblate.org/api/units/191820245/"",""sha256"":""c807727488595313501698c9d16003fdc4bed102c8b0371f80e30b6497031415""}"
0613447a89315cee66cac3e5,Exit Country,Utgångsland,Carburetor,carburetor-sv-reviewed-20260918,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,72af5a1c1efbc3334f1a2eec,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Carburetor/carburetor-sv-reviewed-20260918.po,88e380fb898f5d4165bd74e112845ba33516d2eb3bf34d67eeae9fa6db97c613,{}
09251f38601ca999c3619a9a,Transport Executable File,Transport körbar-fil,Carburetor,carburetor-sv-reviewed-20260918,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,2188c8e80820e1a6cf13ec9c,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Carburetor/carburetor-sv-reviewed-20260918.po,88e380fb898f5d4165bd74e112845ba33516d2eb3bf34d67eeae9fa6db97c613,{}
0d13064b5e82f533039b8991,Connect / Disconnect,Anslut / Avkoppla,Carburetor,carburetor-sv-reviewed-20260918,shortcut,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,9dc19a523b98f75c99476715,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Carburetor/carburetor-sv-reviewed-20260918.po,88e380fb898f5d4165bd74e112845ba33516d2eb3bf34d67eeae9fa6db97c613,{}
13718fb481da8c4ee74f5754,Updated to the GNOME 47 platform.,Uppdaterad till GNOME 47-plattformen.,Carburetor,carburetor-sv-reviewed-20260918,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,c241bd401d9f24c30af48a9b,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Carburetor/carburetor-sv-reviewed-20260918.po,88e380fb898f5d4165bd74e112845ba33516d2eb3bf34d67eeae9fa6db97c613,{}
182e7e2ebe7640b942d8184d,Add,Lägg till,Carburetor,carburetor-sv-reviewed-20260918,tooltip,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,a3d7376a32aa4aa58e55b182,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Carburetor/carburetor-sv-reviewed-20260918.po,88e380fb898f5d4165bd74e112845ba33516d2eb3bf34d67eeae9fa6db97c613,{}
1b5d82c45f15e7c284a12ce9,Tractor is not running!,Tractor kör inte!,Carburetor,carburetor-sv-reviewed-20260918,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,ce60a9205cf9d73ef358f226,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Carburetor/carburetor-sv-reviewed-20260918.po,88e380fb898f5d4165bd74e112845ba33516d2eb3bf34d67eeae9fa6db97c613,{}
22289e00f568eaa8b0c87c81,Welcome to Carburetor,_Välkommen till Carburetor,Carburetor,carburetor-sv-reviewed-20260918,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,bf6f7a3aa403a23988f1e03a,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Carburetor/carburetor-sv-reviewed-20260918.po,88e380fb898f5d4165bd74e112845ba33516d2eb3bf34d67eeae9fa6db97c613,{}
255a7ad3c19452d5d7bbde0c,Show Help,Visa hjälp,Carburetor,carburetor-sv-reviewed-20260918,shortcut,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,b03b96d7869100de4db94292,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Carburetor/carburetor-sv-reviewed-20260918.po,88e380fb898f5d4165bd74e112845ba33516d2eb3bf34d67eeae9fa6db97c613,{}
27417b36f423b5207bec9635,_Ports,_Portar,Carburetor,carburetor-sv-reviewed-20260918,PreferencesPage title,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,7d8ca0d6c2e3ad1a1b7c3fda,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Carburetor/carburetor-sv-reviewed-20260918.po,88e380fb898f5d4165bd74e112845ba33516d2eb3bf34d67eeae9fa6db97c613,{}
28424bd7bf006bb585f64049,_Keyboard Shortcuts,_Tangentbordsgenvägar,Carburetor,carburetor-sv-reviewed-20260918,App Menu Item,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,c33179ed3b9628d8e8c88fb4,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Carburetor/carburetor-sv-reviewed-20260918.po,88e380fb898f5d4165bd74e112845ba33516d2eb3bf34d67eeae9fa6db97c613,{}
