id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
00163aba832e867c80c72412,A username and password are required,Användarnamn och lösenord krävs,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,82d37ef577af3501daae6137,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
004454aeed3062da8371701b,Manage your events and appointments,Hantera dina händelser och möten,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,1d2e3f181b6b21bcf39a4edc,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
005e17b64af7475dcc06b60b,Out of office,Frånvarande,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,800d44248e85170298f589d5,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
0269dbeafdb8317ffb147571,Not synchronized,Ej synkroniserad,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,f78aabfa982a0d57ef308c81,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
0278a1163fac47bc16605fc3,New Calendar,Ny kalender,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,6e5edf5065e3a19c3f02abba,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
09eb40a652cfc9469c4b0931,Choose a date,Välj ett datum,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,e7ab26d304eec854b9ce14df,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
0a9956290930d0b4b0b1bb8d,Working location,Arbetsplats,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,87b1f2c56d01056c895fa78f,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
0ad7bc5d01ae660050776290,1 hour ago,1 timme sedan,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,6fd80ace1ed9f7a550fe9b53,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
0d490bbfa7b0709202c95671,1 year ahead,1 år framåt i tiden,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,b452cf10e444ca2e267b2569,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
0de7a4ab665a30585fa48169,The selected Online Account is unavailable,Det valda webbkontot är inte tillgängligt.,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,36611e9e8b201f1932bf6b92,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
0e59ecf220014881044ffd8e,Could not save alarm,Kunde inte spara larmet,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,c042d8988718851a662c1110,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
1673480a8134381dfff22b06,Authorization received • Contacting Google Calendar…,Behörighet mottagen • Kontaktar Google Kalender…,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,9999736638e7c776e5dae124,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
17711e089ce0a08542c6c872,authorization expired,behörigheten har gått ut,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,2fc10a15e19c1232daf31ad9,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
1c392e07b0877c56449ad836,seconds,sekunder,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,222bd434309c8c6b894b27f2,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
1dcc348c8ef80b5e0ef483da,Preferences,Inställningar,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,0fb4c469e23fd6702f5176f8,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
1eb582af0b0e868806c4cace,Focus time,Fokustid,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,f954839fe012e57366b31ab3,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
200cb579b9e76fb26da214cc,Edit,Ändra,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,dae9054aca04b3a87933052f,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
20b711b136d102bd5a609c01,New event (Ctrl+N),Ny händelse (Ctrl+N),Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,df1f67c8ce7c322303624719,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
279a72afa567b54a58cbe9f5,this calendar,den här kalendern,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,536e744b52dd454d5a23fd7f,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
27a7822699bd41b972f8bc8c,Username,Användarnamn,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,daece918d8cfc01d86d59db8,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
292b70a44bc6ae91d91635b7,"CalDAV (Nextcloud, Memotoo, etc.)","CalDAV (Nextcloud, Memotoo m.fl.)",Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,7e1629bc3594d78bad32c449,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
2aaa48bff072e8bd30ff008c,Contacting CalDAV server…,Ansluter till CalDAV-servern…,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,56c27f582b227c223dade7ba,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
2aba0ee3ccb38bf59afbd4e3,Local calendars,Lokala kalendrar,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,d14bcda473217217046ab8b5,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
2b71a6b7b2a7a3a065ea7e38,Optional,Valbart,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,0e0ffe483728327e6674a5f7,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
2e6b595ff9d15f57f0bfad40,No upcoming events,Inga kommande händelser,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,40643ccc43fbf134eb9a5dc5,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
2ed68910f8e42c1a1442d185,From Gmail,Från Gmail,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,96446edbd624d5c1a6d11d30,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
2faedffc7b21bea1457d3ea1,Save,Spara,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,153ead2b467af173a98b2f14,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
2fd028ff43a0197fee8a6348,Select,Välj,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,d2c84e75a351763694f481d4,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
31cc7958cfb129288de4a400,Create,Skapa,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,45a5d28dd3df4cc534ef3202,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
3a00630e3d490023897b3472,New Event,Ny händelse,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,658bfa2218c42af35240ff11,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
3bc75d6a01578b7bafffee13,Choose an account,Välj ett konto,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,48d17edebd526bebd07ed093,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
3bf5e9a46476bab519c2dc92,Choose a sound,Välj ett ljud,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,3b9ee9d7b799ab7dae244f1a,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
3c95967a925efc0003bcf1ba,Week,Vecka,Clockenstein,clockenstein_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Clockenstein translation,project-context,4e2e8210213997b09f1b6d28,review-commit,https://github.com/yeager/translations/blob/7e17ca08ce32e28ea449113faf598aa82d52a8cf/Clockenstein/clockenstein_sv.po,f77641d60d33f01ad48316002672fc77f4d45eb89a827e9b6adaacc7746e2444,{}
