id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
045813bc544f965712e255f4,Embed Infobar,Bädda in infofält,Codeberg:archives,archives,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,a4812392205e49775f8b3423,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/archives/archives/sv.po,97f705993ba4e89b61a529d6fe069c06c51d225386244851f8fd934227ff22fe,{}
05b71165023b75fc7d24cff1,About,Om,Codeberg:archives,archives,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,344e239eba1fe39c8f7fe44c,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/archives/archives/sv.po,97f705993ba4e89b61a529d6fe069c06c51d225386244851f8fd934227ff22fe,{}
06dab5d0ad27699ed15ed5cb,Preferences,Inställningar,Codeberg:archives,archives,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,e7384eaead3f4ab7725a3edb,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/archives/archives/sv.po,97f705993ba4e89b61a529d6fe069c06c51d225386244851f8fd934227ff22fe,{}
075438e532517157d80253c7,"Open a HTML, WARC, SWF file","Öppna en HTML-, WARC- eller SWF-fil",Codeberg:archives,archives,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,e7ad829ac94d610a25f25586,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/archives/archives/sv.po,97f705993ba4e89b61a529d6fe069c06c51d225386244851f8fd934227ff22fe,{}
0bf3cf24f4e9e1860f472e3e,Remove Hidden Elements,Ta bort dolda element,Codeberg:archives,archives,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,7b2eb9507b585d469bd9a0f4,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/archives/archives/sv.po,97f705993ba4e89b61a529d6fe069c06c51d225386244851f8fd934227ff22fe,{}
0f1e73e156817360ee9520d0,Archiving,Arkivering,Codeberg:archives,archives,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,b0cf9c13016ce9ad737fca25,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/archives/archives/sv.po,97f705993ba4e89b61a529d6fe069c06c51d225386244851f8fd934227ff22fe,{}
1f817c77395ba494b7a44f85,Videos won't be archived,Videor kommer inte att arkiveras,Codeberg:archives,archives,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,dae99ba19173b2464747f01e,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/archives/archives/sv.po,97f705993ba4e89b61a529d6fe069c06c51d225386244851f8fd934227ff22fe,{}
214bc14c832884d7833f781a,Block Fonts,Blockera teckensnitt,Codeberg:archives,archives,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,73438ddbaf1010583bf75cb3,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/archives/archives/sv.po,97f705993ba4e89b61a529d6fe069c06c51d225386244851f8fd934227ff22fe,{}
2b41cafb5e47078ea7d76dec,Block Images,Blockera bilder,Codeberg:archives,archives,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,a8d748c9062a08c88d89c84f,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/archives/archives/sv.po,97f705993ba4e89b61a529d6fe069c06c51d225386244851f8fd934227ff22fe,{}
2f77f61442f4e4cd4654ac3f,Keyboard Shortcuts,Tangentbordsgenvägar,Codeberg:archives,archives,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,3756b4f03955ed276605e015,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/archives/archives/sv.po,97f705993ba4e89b61a529d6fe069c06c51d225386244851f8fd934227ff22fe,{}
31ac7b9ca072adb1a9ab08fe,Display Infobar,Visa infofält,Codeberg:archives,archives,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,0a6c0e7bb5a77dbd98bdf1b9,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/archives/archives/sv.po,97f705993ba4e89b61a529d6fe069c06c51d225386244851f8fd934227ff22fe,{}
