id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
11b0ab49d255787a2f563c92,No Output,Ingen utdata,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,a04207bb9f57c82a590f71f9,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
1c8714ff19d225200c965916,Favorite,Favorit,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,bb8cb4f7c7065affc1f3d85f,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
23c1b2c5d883049016965890,Quit,Avsluta,Codeberg:calligraphy,calligraphy,shortcut window,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,5670d52fc18540f3497dba48,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
2e1fb82ad9527be038147c1b,Show Details,Visa detaljer,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,28ff8f88b8f2eb6c96e64cd6,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
3babff9b96b833a8065c71dc,Show Shortcuts,Visa genvägar,Codeberg:calligraphy,calligraphy,shortcut window,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,5ea17fd3306d7875a86f7f20,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
4500222e553e9ca1e3f68e93,Search,Sök,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,ab8e4bed715b3fd11db72fa8,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
508415b0be974e5850171de1,Type something to get started,Skriv något för att komma igång,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,4fbcfb97721162d4e8c46582,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
538e07103554e592434c7d0c,Unfavorite,Ta bort från favoriter,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,4fc510b2086a000674e6f8c5,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
5ba17f451dfa6f991d3faed4,Clear Entry,Rensa inmatning,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,1fcd621f2c3fc538f146b693,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
5e4e722769502dd7dfc434c9,ascii;convert;conversion;text;ansi;,ascii;konvertera;konvertering;text;ansi;,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,32651685a01a50fe2cc1fca3,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
6091989650161a6ae361e171,Search Fonts,Sök efter teckensnitt,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,5da9ccf95fa8840cac410cd6,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
6ac5bdb0bbe705e0ab433b3c,Toggle Search,Växla sök,Codeberg:calligraphy,calligraphy,shortcut window,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,aef3889fabc453ed1a091c76,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
705fa04bf9d24d02424a9dbb,Detailed View,Detaljerad vy,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,a07068c7383e67a93cf44c2c,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
707dcd5b1bf052d0ae88c512,No Results Found,Inga resultat hittades,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,42b7910457c46d2b6e63ce58,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
70af169780b4f0d70d3b4b90,No Results,Inga resultat,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,99608015a7d4b091c0f49420,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
71694f6855a7f3a003c71088,Export as Image,Exportera som bild,Codeberg:calligraphy,calligraphy,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,114638749e8c16ffd2e4e0f9,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/calligraphy/calligraphy/sv.po,4224a5f72fe301337d97b674254a7dc9dd0f1293c17af44c6803dd2803da1a90,{}
