id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0f16e6a25044c3bb0170f500,They Don't Match,De matchar inte,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,8f82014bcc4ef7ba11114a67,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
12f21de40f695de4587d4872,Hash,Hashvärde,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,ff7474a53934cf90466df308,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
1f456e9578692be786915f00,They Match,De matchar,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,cf4024355bd1d3be35a272c1,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
2223c169428f54a9bb70915d,Close Window,Stäng fönster,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,f8da45e12d59538062789057,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
2cc3112ea220800dd81336e2,_About Collision,_Om Kollision,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,9ad8c1946c69c197bcafa210,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
2e7e1c2b73bcd739587cd700,Verify,Verifiera,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,c6a4528f05b12ee966136ab4,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
30451994d9c2feb165fb0975,File,Fil,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,e7e79baa6035a44aeb253b7d,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
31d38b78404e3dd4aeeff17d,Hash Generator,Hash-generator,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,17ed9e042e57391825605b63,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
48ed542c49380dc662021b9a,Collision,Kollision,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,129e7ac40e577e2fa6fd487d,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
503ba711a936ef737c7b99b4,_Compare Hash Functions,_Jämför hashfunktioner,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,0d9507267c06fc7ef5e2b505,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
53b1f3679eec5889dd29d5d6,Checksum,Kontrollsumma,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,5b8d6cc5e2c84a94df037178,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
53e7569be18ebc78355db4d9,_Keyboard Shortcuts,_Tangentbordsgenvägar,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,3c046d0183498b95010f104a,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
59e46b14037a8b0412c9a3a0,Choose File…,Välj en fil…,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,5fa140d0e9c336033f6a1879,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
600e08e438178233a207d56d,_Open,_Öppna,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,4cc1847dbd7ed37d531096b2,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
62771cc78b276b5624329502,Show Keyboard Shortcuts,Visa tangentbordsgenvägar,Codeberg:collision,collision,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,36bc56341a8521c2bb467e98,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/collision/collision/sv.po,52f105c121dd77e8d64cb61fd326a42824d0e0b83cd43fcf55f255e0251b6783,{}
