id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
00890e2d55bc13e9829c454c,Send a Message when started (StartupNotify),Skicka ett meddelande vid start (StartupNotify),Codeberg:jdDesktopEntryEdit,jdDesktopEntryEdit,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,ac87e3c4d21231283c2ecc96,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdDesktopEntryEdit/jdDesktopEntryEdit/jdDesktopEntryEdit_sv.ts,48a5848750d6eb2b553205a833e40fa0c165cec35be0c5038f6269c07d57a608,{}
02182a2f8a16319b43778647,Window title:,Fönstertitel:,Codeberg:jdDesktopEntryEdit,jdDesktopEntryEdit,"SettingsDialog
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,559f58d6588ae26bdb2357e1,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdDesktopEntryEdit/jdDesktopEntryEdit/jdDesktopEntryEdit_sv.ts,48a5848750d6eb2b553205a833e40fa0c165cec35be0c5038f6269c07d57a608,{}
0a4cb7b31f67117c75799cea,Implements,Implementerar,Codeberg:jdDesktopEntryEdit,jdDesktopEntryEdit,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,0c5b803adbfcaae377adfa0c,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdDesktopEntryEdit/jdDesktopEntryEdit/jdDesktopEntryEdit_sv.ts,48a5848750d6eb2b553205a833e40fa0c165cec35be0c5038f6269c07d57a608,{}
0a655e2f1f7c53e24542f437,Preview of your desktop entry,Förhandsgranskning av din skrivbordspost,Codeberg:jdDesktopEntryEdit,jdDesktopEntryEdit,"PreviewDialog
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,3736b698ad485c80cf69261b,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdDesktopEntryEdit/jdDesktopEntryEdit/jdDesktopEntryEdit_sv.ts,48a5848750d6eb2b553205a833e40fa0c165cec35be0c5038f6269c07d57a608,{}
0a8d92440305d0fd0830cfe8,File,Fil,Codeberg:jdDesktopEntryEdit,jdDesktopEntryEdit,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,79db24a274635f0fab8106f6,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdDesktopEntryEdit/jdDesktopEntryEdit/jdDesktopEntryEdit_sv.ts,48a5848750d6eb2b553205a833e40fa0c165cec35be0c5038f6269c07d57a608,{}
0d836c4adbffd41fff508f7f,Translators,Översättare,Codeberg:jdDesktopEntryEdit,jdDesktopEntryEdit,"AboutDialog
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,de7c13ed1c8dabb175d83053,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdDesktopEntryEdit/jdDesktopEntryEdit/jdDesktopEntryEdit_sv.ts,48a5848750d6eb2b553205a833e40fa0c165cec35be0c5038f6269c07d57a608,{}
0e823238c5fafa5b32b1e36a,Run in a Terminal (Terminal),Kör i en terminal (Terminal),Codeberg:jdDesktopEntryEdit,jdDesktopEntryEdit,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,9dd78c7f32a0b4dccf3e1205,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdDesktopEntryEdit/jdDesktopEntryEdit/jdDesktopEntryEdit_sv.ts,48a5848750d6eb2b553205a833e40fa0c165cec35be0c5038f6269c07d57a608,{}
0e9fbeb4b18564dace92f864,MimeType,MIME-typ,Codeberg:jdDesktopEntryEdit,jdDesktopEntryEdit,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,c0d5d62b10e420efcf279697,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdDesktopEntryEdit/jdDesktopEntryEdit/jdDesktopEntryEdit_sv.ts,48a5848750d6eb2b553205a833e40fa0c165cec35be0c5038f6269c07d57a608,{}
0f50ced93d50e1b383a7b539,Remove,Ta bort,Codeberg:jdDesktopEntryEdit,jdDesktopEntryEdit,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,f894f1792073c6e1109aaedf,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdDesktopEntryEdit/jdDesktopEntryEdit/jdDesktopEntryEdit_sv.ts,48a5848750d6eb2b553205a833e40fa0c165cec35be0c5038f6269c07d57a608,{}
0f9e9b242afe1c2a7fd752d2,Language double,Språket finns dubbelt,Codeberg:jdDesktopEntryEdit,jdDesktopEntryEdit,"TranslateDialog
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,6e9b1282bd6fb08634587182,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdDesktopEntryEdit/jdDesktopEntryEdit/jdDesktopEntryEdit_sv.ts,48a5848750d6eb2b553205a833e40fa0c165cec35be0c5038f6269c07d57a608,{}
