id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
02ab648788b3eb24e1402e33,Changelog,Ändringslogg,Codeberg:jdNBTExplorer,jdNBTExplorer,"AboutWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,8d5b7da294cfd4f192569e9e,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdNBTExplorer/jdNBTExplorer/jdNBTExplorer_sv.ts,79166e67b87d3ba2211a0b82f20b6bfd802fe80e814650ced2185e9f5112e9d0,{}
0788eed72d31e317081c9863,Name can't be empty,Namnet får inte vara tomt,Codeberg:jdNBTExplorer,jdNBTExplorer,"EditWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,e8f7e92cc6c0e40b68380e22,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdNBTExplorer/jdNBTExplorer/jdNBTExplorer_sv.ts,79166e67b87d3ba2211a0b82f20b6bfd802fe80e814650ced2185e9f5112e9d0,{}
08c6e9d9ebafd579183ca190,Name,Namn,Codeberg:jdNBTExplorer,jdNBTExplorer,"TreeWidget
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,c0d32b6cf92d0dccb9680b23,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdNBTExplorer/jdNBTExplorer/jdNBTExplorer_sv.ts,79166e67b87d3ba2211a0b82f20b6bfd802fe80e814650ced2185e9f5112e9d0,{}
08fb9b78d73f1e4c81736c13,Edit Tag,Redigera tagg,Codeberg:jdNBTExplorer,jdNBTExplorer,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,c217fc1364f8cdd2d90c5ed8,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdNBTExplorer/jdNBTExplorer/jdNBTExplorer_sv.ts,79166e67b87d3ba2211a0b82f20b6bfd802fe80e814650ced2185e9f5112e9d0,{}
09eaca6cdca263ca416f64e9,Please enter a new Name,Ange ett nytt namn,Codeberg:jdNBTExplorer,jdNBTExplorer,"TreeWidget
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,eb75589d17cc6cf936caac5d,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdNBTExplorer/jdNBTExplorer/jdNBTExplorer_sv.ts,79166e67b87d3ba2211a0b82f20b6bfd802fe80e814650ced2185e9f5112e9d0,{}
0c9a28f8dbe2eb7b7aca73e5,An editor for Minecraft NBT files,En redigerare för Minecraft NBT-filer,Codeberg:jdNBTExplorer,jdNBTExplorer,"AboutWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,ca04a50203f8b2d1e344350d,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdNBTExplorer/jdNBTExplorer/jdNBTExplorer_sv.ts,79166e67b87d3ba2211a0b82f20b6bfd802fe80e814650ced2185e9f5112e9d0,{}
1229188d7b0808a7f159f3de,Rename,Byt namn,Codeberg:jdNBTExplorer,jdNBTExplorer,"TreeWidget
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,3e340a0ddf6816cd21f8f5bd,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdNBTExplorer/jdNBTExplorer/jdNBTExplorer_sv.ts,79166e67b87d3ba2211a0b82f20b6bfd802fe80e814650ced2185e9f5112e9d0,{}
126de62e884a87f2245b8e94,Open Directory,Öppna katalog,Codeberg:jdNBTExplorer,jdNBTExplorer,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,1614d3dd51e7ea804f4295b9,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdNBTExplorer/jdNBTExplorer/jdNBTExplorer_sv.ts,79166e67b87d3ba2211a0b82f20b6bfd802fe80e814650ced2185e9f5112e9d0,{}
12b9d30368162551d7119af8,You need to set a Name,Du måste ange ett namn,Codeberg:jdNBTExplorer,jdNBTExplorer,"EditWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,c94d2e8ff72ff20896666de8,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdNBTExplorer/jdNBTExplorer/jdNBTExplorer_sv.ts,79166e67b87d3ba2211a0b82f20b6bfd802fe80e814650ced2185e9f5112e9d0,{}
13bf2fb0348c513dff75f3dc,Ask before closing unsaved Files,Fråga före stängning av osparade filer,Codeberg:jdNBTExplorer,jdNBTExplorer,"SettingsWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,4fd7d0f520990420c6ee1284,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdNBTExplorer/jdNBTExplorer/jdNBTExplorer_sv.ts,79166e67b87d3ba2211a0b82f20b6bfd802fe80e814650ced2185e9f5112e9d0,{}
