id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
1d80f5701c7bad9fe39f1c3a,Finished,Slutförd,Codeberg:jdReplace,jdReplace,"StartWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,0dbde96b566359639b0cd711,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdReplace/jdReplace/jdReplace_sv.ts,97be0ea4da192b37565635970cd13c7aaf8f50f8f7f07a3fe1b5e978a8ecf556,{}
4b83914dbb2e2fefef4af663,Directory:,Katalog:,Codeberg:jdReplace,jdReplace,"StartWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,06d13c2dc2de616740b39217,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdReplace/jdReplace/jdReplace_sv.ts,97be0ea4da192b37565635970cd13c7aaf8f50f8f7f07a3fe1b5e978a8ecf556,{}
54694045ac47ef1023dad16c,Canceled,Avbruten,Codeberg:jdReplace,jdReplace,"StartWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,94e6fc634f026578c043d773,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdReplace/jdReplace/jdReplace_sv.ts,97be0ea4da192b37565635970cd13c7aaf8f50f8f7f07a3fe1b5e978a8ecf556,{}
68994466c97bc6ba72f9e4b2,View Source,Visa källkod,Codeberg:jdReplace,jdReplace,"AboutWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,b15fdff36fb996f65dae39b7,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdReplace/jdReplace/jdReplace_sv.ts,97be0ea4da192b37565635970cd13c7aaf8f50f8f7f07a3fe1b5e978a8ecf556,{}
86d8106327a0514eb02f143e,Browse,Bläddra,Codeberg:jdReplace,jdReplace,"StartWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,db5b29c4b7099f903f7a9a98,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdReplace/jdReplace/jdReplace_sv.ts,97be0ea4da192b37565635970cd13c7aaf8f50f8f7f07a3fe1b5e978a8ecf556,{}
89253390267b652e551e4a6f,Not a directory,Inte en katalog,Codeberg:jdReplace,jdReplace,"StartWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,be220a0689ca2ae8c6799401,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdReplace/jdReplace/jdReplace_sv.ts,97be0ea4da192b37565635970cd13c7aaf8f50f8f7f07a3fe1b5e978a8ecf556,{}
978bf26dd3248a22670e0708,Replace with:,Ersätt med:,Codeberg:jdReplace,jdReplace,"StartWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,e29e1a9d3bab82ecf626ed97,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdReplace/jdReplace/jdReplace_sv.ts,97be0ea4da192b37565635970cd13c7aaf8f50f8f7f07a3fe1b5e978a8ecf556,{}
985dd2d8671b5444eb214d33,Search for:,Sök efter:,Codeberg:jdReplace,jdReplace,"StartWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,1c34ff39683fc606bb05799b,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdReplace/jdReplace/jdReplace_sv.ts,97be0ea4da192b37565635970cd13c7aaf8f50f8f7f07a3fe1b5e978a8ecf556,{}
98c6eccb3d8b9fdba3ebeeae,Search Subdirectories,Sök i underkataloger,Codeberg:jdReplace,jdReplace,"StartWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,b8ac869fd388acc0369eb22c,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdReplace/jdReplace/jdReplace_sv.ts,97be0ea4da192b37565635970cd13c7aaf8f50f8f7f07a3fe1b5e978a8ecf556,{}
ac6754f351509cd6d6d996ae,Cancel,Avbryt,Codeberg:jdReplace,jdReplace,"StartWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,d8c8d5367f2110f4599e8d73,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdReplace/jdReplace/jdReplace_sv.ts,97be0ea4da192b37565635970cd13c7aaf8f50f8f7f07a3fe1b5e978a8ecf556,{}
