id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
05246939385a65034b9150ac,Development,Utveckling,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"AddMenuDialog
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,fb3ca4ed96f4b558194089c3,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
0bff970e7a71a15c78e703cc,Office,Kontor,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"AddMenuDialog
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,d85b19ab3c964c54c63da6bc,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
10e23e4fca173f8ba6e70d5c,Add from Menu,Lägg till från menyn,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,5c86db3993de0358afa52845,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
1500b10c955694767d92af3e,No autostart directories found,Inga autostartkataloger hittades,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"jdSimpleAutostart
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,56a2121b31082f11759e33d9,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
15c172b183f1493c152bc57b,Add new autostart entry,Lägg till ny autostartpost,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"AddEditDialog
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,abf799f7b90e67c99ac07b1c,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
3e32483eefff96ccbb872564,Utilities,Verktyg,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"AddMenuDialog
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,d591eab67eb7b8da49772187,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
402017ec8b97c82e0716422d,Remove,Ta bort,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,418a643bc839476185735da8,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
5a573d056e2c4ba522f78bf2,Settings,Inställningar,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"AddMenuDialog
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,7f0f660d0f23397772530d14,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
60137c31cdba78db0c658816,Add,Lägg till,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,0f55796a12fe43e7bbbb041d,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
74395f98e1de254b5f49eb25,Icon:,Ikon:,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"AddEditDialog
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,221b61d2cfe08512788466cc,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
8a18ce147581f02aa1332773,Show System Entries,Visa systemposter,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"MainWindow
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,9408f4ba8e7731296f930b54,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
91d814e797ceaab2c9affa51,Name:,Namn:,Codeberg:jdSimpleAutostart,jdSimpleAutostart,"AddEditDialog
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,20d3e31b804cef9fc8755dcb,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/jdSimpleAutostart/jdSimpleAutostart/jdSimpleAutostart_sv.ts,b56c6c4522a319c73868f39ee57e945af4cc32f288f68bc049661689a4bc0a16,{}
