id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0003c080de44ae3c691abe5b,Show Shortcuts Used,Visa använda kortkommandon,Denemo,denemo_sv-reviewed-20260917,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,766fe51e53658ed025129076,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Denemo/denemo_sv-reviewed-20260917.po,e64f9fd0bc4a3eada5095276a86b1c58ee3d4464cf7ebf47872a5ce61bad8b37,{}
001b71bb286a6a860bfb1840,custodes,förmyndare,Denemo,denemo_sv-reviewed-20260917,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,dfebf088cb009569d75e2aa2,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Denemo/denemo_sv-reviewed-20260917.po,e64f9fd0bc4a3eada5095276a86b1c58ee3d4464cf7ebf47872a5ce61bad8b37,{}
00770d3f38d3170799bce73d,Continue seeking tied notes,Fortsätt att söka bundna noter,Denemo,denemo_sv-reviewed-20260917,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,8a9a52bacbe7df7b19b056f6,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Denemo/denemo_sv-reviewed-20260917.po,e64f9fd0bc4a3eada5095276a86b1c58ee3d4464cf7ebf47872a5ce61bad8b37,{}
007ec699c82bbc468bdaaecf,Dashed,Streckad,Denemo,denemo_sv-reviewed-20260917,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,2e8690b6b2de480f0e38807e,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Denemo/denemo_sv-reviewed-20260917.po,e64f9fd0bc4a3eada5095276a86b1c58ee3d4464cf7ebf47872a5ce61bad8b37,{}
009d40f03d6ee6d9b801ec0c,Part-Combining,Del-kombination,Denemo,denemo_sv-reviewed-20260917,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,e3416ae7d6ae6c0951799ea8,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Denemo/denemo_sv-reviewed-20260917.po,e64f9fd0bc4a3eada5095276a86b1c58ee3d4464cf7ebf47872a5ce61bad8b37,{}
00b1b6ccf5d8343928b1710f,Attached to the rest:,Bifogat till resten:,Denemo,denemo_sv-reviewed-20260917,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,03b6ddb88cccbd9f25bf6474,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Denemo/denemo_sv-reviewed-20260917.po,e64f9fd0bc4a3eada5095276a86b1c58ee3d4464cf7ebf47872a5ce61bad8b37,{}
00bc46031573b2435893b65e,Portrait,Porträtt,Denemo,denemo_sv-reviewed-20260917,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,5ba9027215fb0fbcf3b17045,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Denemo/denemo_sv-reviewed-20260917.po,e64f9fd0bc4a3eada5095276a86b1c58ee3d4464cf7ebf47872a5ce61bad8b37,{}
00d1c3ffc96dbcf33fd6e63d,Try to Import a Midi File,Försök att importera en Midi-fil,Denemo,denemo_sv-reviewed-20260917,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,87aa3a733464d7f1fd821e13,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Denemo/denemo_sv-reviewed-20260917.po,e64f9fd0bc4a3eada5095276a86b1c58ee3d4464cf7ebf47872a5ce61bad8b37,{}
00d7f3c4395a75fd9c694ac2,Alphabetic,Alfabetisk,Denemo,denemo_sv-reviewed-20260917,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,8e0f114074ebb9f03969641e,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Denemo/denemo_sv-reviewed-20260917.po,e64f9fd0bc4a3eada5095276a86b1c58ee3d4464cf7ebf47872a5ce61bad8b37,{}
00ec50af1d3a93e25ece8333,Already Typesetting,Redan sättning,Denemo,denemo_sv-reviewed-20260917,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,4973604ea0de028ed19ca84f,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Denemo/denemo_sv-reviewed-20260917.po,e64f9fd0bc4a3eada5095276a86b1c58ee3d4464cf7ebf47872a5ce61bad8b37,{}
