id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
000018df0936d31d7aa70b4e,Drag,Dra,FreeCAD,freecad.tbx.xliff,,,project-context,bd08974de4b678b42bcaedd3,reviewed-local,https://crowdin.com/translate/freecad/32154/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
0008388b3d94633f424d5aee,Filters elements by type,Filtrerar element efter typ,FreeCAD,Sketcher.ts,SketcherGui::TaskSketcherElements,Språklig rättelse efter kontroll mot källtexten.,project-context,f2acd44385b11c8c1dec531f,file-submitted,https://crowdin.com/translate/freecad/569/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
000f6461989205b0ab771e1b,also provide development channels,tillhandahåller även utvecklingskanaler,FreeCAD,homepage.po,,,project-context,cce3994619fcb1a28402e745,file-submitted,https://crowdin.com/translate/freecad/27908/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
0014dd16a537f13d211873c7,&Screen,&Skärm,FreeCAD,FreeCAD.ts,Gui::Dialog::DlgSettingsImage,,project-context,055a236eee09786ac65d49b2,file-submitted,https://crowdin.com/translate/freecad/549/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
001739dd7bd038b03f92f768,Move Left,Flytta vänster,FreeCAD,FreeCAD.ts,Gui::Dialog::DlgCustomToolbars,,project-context,0b13a6e5f732346825193323,file-submitted,https://crowdin.com/translate/freecad/549/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
001b8adbecb7afb00f07670a,Edges: 0,Kanter: 0,FreeCAD,Robot.ts,RobotGui::TaskEdge2TracParameter,,project-context,486996d33c2a6c70a0d0b4e2,file-submitted,https://crowdin.com/translate/freecad/568/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
001d98edd5c9d00f370704e5,Bounding box,Avgränsningsruta,FreeCAD,CAM.ts,Form,Språklig rättelse efter kontroll mot källtexten.,project-context,0a37a4f84fb60413d76491c9,file-submitted,https://crowdin.com/translate/freecad/32192/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
001f3b0bdaf24ad36892252e,Transformable Surfaces,Transformerbara ytor,FreeCAD,Fem.ts,TaskFemConstraintTransform,Språklig rättelse efter kontroll mot källtexten.,project-context,2e86c807ea57696cd0b4f971,file-submitted,https://crowdin.com/translate/freecad/559/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
0023344c701ababef033e60d,Vcarve Tolerance,Tolerans för V-gravering,FreeCAD,CAM.ts,App::Property,Språklig rättelse efter kontroll mot källtexten.,project-context,ea06c2c6afccd7f208afa11d,file-submitted,https://crowdin.com/translate/freecad/32192/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
002600afb0251ac3d024fef1,Window center,Fönstrets mitt,FreeCAD,FreeCAD.ts,Gui::Dialog::DlgSettingsNavigation,Språklig rättelse efter kontroll mot källtexten.,project-context,e69abdc56fa2196aba89abf9,file-submitted,https://crowdin.com/translate/freecad/549/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
002c9d3fa67af6e2858e674b,Tool Controller,Verktygsstyrning,FreeCAD,CAM.ts,CAM_ToolController,Språklig rättelse efter kontroll mot källtexten.,project-context,6ffdc40c7192c7fbd9eed9bb,file-submitted,https://crowdin.com/translate/freecad/32192/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
0031808df1ae2e733b77d49a,Developers Handbook,Handbok för utvecklare,FreeCAD,FreeCAD.ts,StdCmdDevHandbook,,project-context,57965dae270e6c37e84edf50,file-submitted,https://crowdin.com/translate/freecad/549/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
003521d5c03caf7d9606551a,Input Error,Inmatningsfel,FreeCAD,Fem.ts,FemGui::TaskDlgFemConstraintTemperature,,project-context,dd83717a17cf3b192b96112c,file-submitted,https://crowdin.com/translate/freecad/559/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
00390356fc01f17268434486,Analysis type,Analystyp,FreeCAD,Fem.ts,SolverCalculiX,,project-context,af12a498a48fb055c82ad29b,file-submitted,https://crowdin.com/translate/freecad/559/en-sv-SE,bb6624fb1f53ee85440a32c45cef351ecffacbc7a98d352f980939c65794de81,{}
