id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
03f6a910e334b04d1be99bac,Software selection,Val av programvara,Mint-Backup,mintbackup_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,7cf10d5e5122addb84de0d1d,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Backup/mintbackup_sv.po,94677eb4076988a8117a9d3612377d33e44e6f45fdb46443554c325a9feef42d,{}
15833d61110dd7e68205f3cc,Restore...,Återställ...,Mint-Backup,mintbackup_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,5e3d0dcf3ab7b9d127606dc2,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Backup/mintbackup_sv.po,94677eb4076988a8117a9d3612377d33e44e6f45fdb46443554c325a9feef42d,{}
16e9165c6735011416dab687,Please select the backup to restore:,Välj säkerhetskopian att återställa:,Mint-Backup,mintbackup_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,2237173097e7e71c6f0da5f9,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Backup/mintbackup_sv.po,94677eb4076988a8117a9d3612377d33e44e6f45fdb46443554c325a9feef42d,{}
23bf604b5335289d0265e973,About,Om programmet,Mint-Backup,mintbackup_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,c9cd7bc7ec31406eb85c02a5,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Backup/mintbackup_sv.po,94677eb4076988a8117a9d3612377d33e44e6f45fdb46443554c325a9feef42d,{}
28239e898845941f7f472284,Backup Tool,Verktyg för säkerhetskopiering,Mint-Backup,mintbackup_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,9b8a917f4b201cddbfe0cd99,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Backup/mintbackup_sv.po,94677eb4076988a8117a9d3612377d33e44e6f45fdb46443554c325a9feef42d,{}
3394a37e511c7ef9455c7b7d,Calculating...,Beräknar...,Mint-Backup,mintbackup_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,46efb80c6652264c566d25a3,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Backup/mintbackup_sv.po,94677eb4076988a8117a9d3612377d33e44e6f45fdb46443554c325a9feef42d,{}
34def7bfccada69e3bc69504,Could not locate the package.,Det gick inte att hitta paketet.,Mint-Backup,mintbackup_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,5a442c930cf30fe21b18a041,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Backup/mintbackup_sv.po,94677eb4076988a8117a9d3612377d33e44e6f45fdb46443554c325a9feef42d,{}
37d22e47c3c20de16b957bb4,No packages need to be installed.,Inga paket behöver installeras.,Mint-Backup,mintbackup_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,f961cc07d1a8dc2acc1a2396,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Backup/mintbackup_sv.po,94677eb4076988a8117a9d3612377d33e44e6f45fdb46443554c325a9feef42d,{}
392121a3acbc6522fd79dabc,Overwrite existing files?,Skriv över befintliga filer?,Mint-Backup,mintbackup_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,ac921f4ba53f5b19fd5e166f,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Backup/mintbackup_sv.po,94677eb4076988a8117a9d3612377d33e44e6f45fdb46443554c325a9feef42d,{}
3c76d8eac7954c78a6d18446,Deselect all,Avmarkera alla val,Mint-Backup,mintbackup_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a48a2a4025d25f5be91803ee,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Backup/mintbackup_sv.po,94677eb4076988a8117a9d3612377d33e44e6f45fdb46443554c325a9feef42d,{}
