id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
122247d8113eec28732295c7,_Cancel,_Avbryt,Mint-Drivers,mintdrivers_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,ad9af143ffcdf948da3a4c3f,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Drivers/mintdrivers_sv.po,7a20a8290773d9de5da2a55def9cb41c93ae90642090612b5ca19973490b3126,{}
1507e07c109dceef6e3fece9,No proprietary drivers are in use.,Inga proprietära drivrutiner används.,Mint-Drivers,mintdrivers_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,546c0fbee9ec1a8bb21e9c0b,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Drivers/mintdrivers_sv.po,7a20a8290773d9de5da2a55def9cb41c93ae90642090612b5ca19973490b3126,{}
2671b0f75fa1d5713c00fd75,Installation media detected,Installationsmedia har hittats,Mint-Drivers,mintdrivers_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,7948368a0b8b766e583a0a9d,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Drivers/mintdrivers_sv.po,7a20a8290773d9de5da2a55def9cb41c93ae90642090612b5ca19973490b3126,{}
2846b7719deaf0d01aa60d56,An error occurred,Ett fel uppstod,Mint-Drivers,mintdrivers_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,5642e3a9719f825c41100990,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Drivers/mintdrivers_sv.po,7a20a8290773d9de5da2a55def9cb41c93ae90642090612b5ca19973490b3126,{}
30511e1de92dba6d20e885fa,requires a connection to the Internet,kräver internetanslutning,Mint-Drivers,mintdrivers_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,6ce8c8f37ce6242036769343,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Drivers/mintdrivers_sv.po,7a20a8290773d9de5da2a55def9cb41c93ae90642090612b5ca19973490b3126,{}
3129f93baa85562c2fd791b4,Do not use the device,Använd inte enheten,Mint-Drivers,mintdrivers_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,dcef1819d9b557d5da8c6ad9,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Drivers/mintdrivers_sv.po,7a20a8290773d9de5da2a55def9cb41c93ae90642090612b5ca19973490b3126,{}
35e7d31fea6461cab6c8dce9,Downloading drivers...,Hämtar drivrutiner…,Mint-Drivers,mintdrivers_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,dcf8d02472e4f88a047509d9,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Drivers/mintdrivers_sv.po,7a20a8290773d9de5da2a55def9cb41c93ae90642090612b5ca19973490b3126,{}
3d523274dbb791d6a3c25842,open-source,öppen källkod,Mint-Drivers,mintdrivers_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,33b57b4bda2a7c4ede35d38c,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Drivers/mintdrivers_sv.po,7a20a8290773d9de5da2a55def9cb41c93ae90642090612b5ca19973490b3126,{}
4baff480959ddc1142b0e6ab,Unknown,Okänd,Mint-Drivers,mintdrivers_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,cdc50bba9c2b194d9bcae7aa,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Drivers/mintdrivers_sv.po,7a20a8290773d9de5da2a55def9cb41c93ae90642090612b5ca19973490b3126,{}
553b8f9bec3c4bbe21ecdd82,Installing drivers...,Installerar drivrutiner…,Mint-Drivers,mintdrivers_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,aa16dad80fc71a7f459b0a6b,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Drivers/mintdrivers_sv.po,7a20a8290773d9de5da2a55def9cb41c93ae90642090612b5ca19973490b3126,{}
