id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0c325a4e3ce1529880d13d1b,Language,Språk,Mint-Locale,mintlocale_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,46d7c4448746feb9be850851,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Locale/mintlocale_sv.po,94d9db0aa1a197ca4aee9e2b0488f22bae819ee04cd4d4a383bf048751dd640c,{}
103880430a2912568c48793d,- Install the language support packages: ,- Installera språkpaket: ,Mint-Locale,mintlocale_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,f98b4da77975cd2476f862da,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Locale/mintlocale_sv.po,94d9db0aa1a197ca4aee9e2b0488f22bae819ee04cd4d4a383bf048751dd640c,{}
163bc0d9c5fbf5aba330303f,Language settings,Språkinställningar,Mint-Locale,mintlocale_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,21e8953c3114bb49166a60b1,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Locale/mintlocale_sv.po,94d9db0aa1a197ca4aee9e2b0488f22bae819ee04cd4d4a383bf048751dd640c,{}
18d527f9f7962469f37b63a8,Add...,Lägg till…,Mint-Locale,mintlocale_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,2324f622e742b2fa4ab254c4,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Locale/mintlocale_sv.po,94d9db0aa1a197ca4aee9e2b0488f22bae819ee04cd4d4a383bf048751dd640c,{}
1aec26af34ab6a21b06b97fd,Language support,Språkstöd,Mint-Locale,mintlocale_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,f1ee6583c9e1c5e9b577fee0,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Locale/mintlocale_sv.po,94d9db0aa1a197ca4aee9e2b0488f22bae819ee04cd4d4a383bf048751dd640c,{}
238611b22698af6cd22ad9a6,Language Settings,Språkinställningar,Mint-Locale,mintlocale_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,45a9771ef0efc3e284c99491,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Locale/mintlocale_sv.po,94d9db0aa1a197ca4aee9e2b0488f22bae819ee04cd4d4a383bf048751dd640c,{}
2d5a6bb42ab0a129c62da84e,Some language packs are missing,Vissa språkpaket saknas,Mint-Locale,mintlocale_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,edd635c73424158d78215099,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Locale/mintlocale_sv.po,94d9db0aa1a197ca4aee9e2b0488f22bae819ee04cd4d4a383bf048751dd640c,{}
3a58dc56ef0b7460012a4b21,Remove the selected language,Ta bort det valda språket,Mint-Locale,mintlocale_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,fb4fb0748ad6ed4daab2d50f,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Locale/mintlocale_sv.po,94d9db0aa1a197ca4aee9e2b0488f22bae819ee04cd4d4a383bf048751dd640c,{}
3c97a49b7626ec3e2e9c0fcd,Traditional Chinese,Traditionell kinesiska,Mint-Locale,mintlocale_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,5d923c98064d3166765b2bdc,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Locale/mintlocale_sv.po,94d9db0aa1a197ca4aee9e2b0488f22bae819ee04cd4d4a383bf048751dd640c,{}
3cac06ba4ea603a240290f27,Add a new language,Lägg till ett nytt språk,Mint-Locale,mintlocale_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,d80251c9da387280259be37e,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Locale/mintlocale_sv.po,94d9db0aa1a197ca4aee9e2b0488f22bae819ee04cd4d4a383bf048751dd640c,{}
