id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
01cc3792224effbef888433d,Search Wikipedia,Sök i Wikipedia,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,f9ff8d13acefabfc8ffef913,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
03629f5970ce69b3bdba26d6,Insert separator,Infoga avskiljare,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,1117776553f635a22e3daf5e,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
03f23f54252689d31a375b3d,Show tooltips,Visa verktygstips,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,f9ab54332b2727d8ac172e5d,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
04d0ec56c9b4a74752269bc8,Categories,Kategorier,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,939f5813e6ffe80d84a05e9d,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
10d7365a9da65d3d51006b9e,Search DuckDuckGo,Sök med DuckDuckGo,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,65fac1fa7f2cf1dc5c3c09c9,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
1172696fda9871168a2dd7e3,Search Computer,Sök i datorn,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,922df18f48327efda7cc8241,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
13b8c360d1c1585aacd434ab,Run with NVIDIA GPU,Kör med NVIDIA GPU,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,bf4b95c4f6b5c85cd43852e9,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
14a486680ed90323b65bf169,Switch categories on hover,Växla kategorier när pekaren hålls över,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,30f592bb2ddad4ecfac1f92a,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
1567bca01f277b4870215b20,Uninstall,Avinstallera,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,57372513773a43f0bddb95da,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
1617aca85d0774e58c990c9e,The size of the icons,Ikonernas storlek,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,2d66f3d014c5163e1bac40a2,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
1874fd8849d5921f38db7e12,Name:,Namn:,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,8e96086e9a2509ef3e3f4aef,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
1abac3d81e8444e0a2ab7030,Section layout,Sektionens layout,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,1987123fa3198a94c9b49d78,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
1b508771c96a0554917c6403,Menu preferences,Menyinställningar,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,ab5bebe39879642469cda291,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
1ca0058a01ce57a0c85afcc6,Couldn't initialize plugin,Insticksprogrammet kunde inte startas,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,72f3958dc5572c24fa83359e,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
1cca4af2cc09354d090032c2,Advanced MATE Menu,Avancerad MATE-meny,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,c6385e36d8f52c236f777a91,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
1e336d3f46242862a3786df7,Use the command line,Använd kommandoraden,Mint-Menu,mintmenu_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Mint Menu translation,project-context,2f2d80834b5991a681ccf72d,review-commit,https://github.com/yeager/translations/blob/9dff552d48d21ca2a65c8122f7760fd8a57d9c43/Mint-Menu/mintmenu_sv.po,8b85206e46a109b90cf9eb6d5e768b5bf75282eae29059b5ce6067bd9a0270c0,{}
