id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
023bc5d0b3577fc9ed28a1cb,Enabled,Aktiverad,Mint-Sources,mintsources_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,1a32a05d7b32269eae5b14c0,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Sources/mintsources_sv.po,d8a5132d8a31b9e0c9cf66e4d4a204342bc4969e47191d19bbacc40572ba7b4d,{}
04e8593fbe72d6b4ea5437cc,Downgrade foreign packages,Nedgradera främmande paket,Mint-Sources,mintsources_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,55ceb812a17bfc369a347a70,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Sources/mintsources_sv.po,d8a5132d8a31b9e0c9cf66e4d4a204342bc4969e47191d19bbacc40572ba7b4d,{}
082e3f46e497a9a1454b3bfe,Authentication Keys,Autentiseringsnycklar,Mint-Sources,mintsources_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,cd2ac04b87cec1fc82823646,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Sources/mintsources_sv.po,d8a5132d8a31b9e0c9cf66e4d4a204342bc4969e47191d19bbacc40572ba7b4d,{}
0f4f746fddd64f40d6e3fb5b,Please reload the cache.,Ladda om APT-cachen.,Mint-Sources,mintsources_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a97505b796486c69db484d66,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Sources/mintsources_sv.po,d8a5132d8a31b9e0c9cf66e4d4a204342bc4969e47191d19bbacc40572ba7b4d,{}
12ed1baec57184f6058c9875,Clear,Rensa,Mint-Sources,mintsources_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,16e2f4c6eb0985a97b7b89c0,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Sources/mintsources_sv.po,d8a5132d8a31b9e0c9cf66e4d4a204342bc4969e47191d19bbacc40572ba7b4d,{}
1b00894915cd2f656fbf94bc,Open..,Öppna…,Mint-Sources,mintsources_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,60453d9cdae792fc0fa0b10a,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Sources/mintsources_sv.po,d8a5132d8a31b9e0c9cf66e4d4a204342bc4969e47191d19bbacc40572ba7b4d,{}
1c5169babebb6ee0825fb9bf,Purge residual configuration,Rensa bort konfigurationsrester,Mint-Sources,mintsources_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,d018442fd5a786f8b2fc6d0e,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Sources/mintsources_sv.po,d8a5132d8a31b9e0c9cf66e4d4a204342bc4969e47191d19bbacc40572ba7b4d,{}
2243c9d769b26752e5f90b69,No duplicate entries were found.,Inga dubbletter hittades.,Mint-Sources,mintsources_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,30dfbddfcaf884bc52b7a353,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Sources/mintsources_sv.po,d8a5132d8a31b9e0c9cf66e4d4a204342bc4969e47191d19bbacc40572ba7b4d,{}
23820a3fdd0be9dd8e8cc6b3,Browse...,Bläddra…,Mint-Sources,mintsources_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,20b96489a13254fa84e050cf,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Sources/mintsources_sv.po,d8a5132d8a31b9e0c9cf66e4d4a204342bc4969e47191d19bbacc40572ba7b4d,{}
2433894bbc66bd5802e7f61d,Installed version,Installerad version,Mint-Sources,mintsources_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,8eae5a97a4e6635ed964d751,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Sources/mintsources_sv.po,d8a5132d8a31b9e0c9cf66e4d4a204342bc4969e47191d19bbacc40572ba7b4d,{}
