id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0252155826846e13d5229539,Clear,Rensa,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,471a04b87954ccf0817984e3,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
039c2aeaa87e8cd32e95767d,Welcome Screen,Välkomstskärm,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,c34cfd48b02fec8678ecae21,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
08683f911ef2090e8d7ff6e2,Ignore an Update,Välj bort en uppdatering,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,97c6aa019c064093286b7ea8,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
0907197a84aff5516b54de60,3rd-party update,Uppdatering från tredje part,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,60eaa9e24fee05a2dc66a815,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
0c44119d58f24f372b99ea7d,Warning!,Varning!,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,9d172790c11dc60e8064bba9,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
0dd90519dc3282637e42672a,Type,Typ,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,f27cce7f7fb7313cef1861be,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
0dff20482e87b61ea1c25c1d,Queue Installation,Köa installation,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,6d354a656c02d7a9f1460a1a,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
10350d68b19de89fd0a61cef,Show and install available updates,Visa och installera tillgängliga uppdateringar,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,3854e9d8e8090f1fed5395bb,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
11d1be0c5d048c779637606a,Cinnamon spice updates,Uppdateringar av tillägg för Cinnamon,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,b2c8c883c1850de7c5acfde1,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
151f55d1596be8647e567a23,Enable automatic updates,Aktivera automatiska uppdateringar,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,e993993130d601252cb1313e,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
16d2ae9332e714e4965a99ef,Continue,Fortsätt,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,899cefa65e938bea6fdfc932,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
1721667831d80e6ccf37c2d6,_View,_Visa,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,d1708784b75b4469728ba33d,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
1751406480fc550b25d65539,Cancel,Avbryt,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,55c99cc497ab73cf7284e867,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
18679965dfcaf20b64ac40ec,Requirements,Krav,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,ba3e22aadb6739e88ba9b047,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
192cb3a48d39e5fea60684fd,Update Cinnamon spices automatically,Uppdatera tillägg för Cinnamon automatiskt,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,8faa5335d1df453c0f354a61,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
19f0e043c9e483659facd372,minutes,minuter,Mint-Update,mintupdate_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a4ef2d9fd77dc42b83ba2cff,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Update/mintupdate_sv.po,1db464dc7f669f6a9586a40bd98766d11d132ab61d755d68161fce459af37f5a,{}
