id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
08c34af4584ff1121c6daae4,Welcome to your new operating system!,Välkommen till ditt nya operativsystem!,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,ef92720a69a70a6ab7a16c5a,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
10f2368c0ec254db8df303ae,System Settings,Systeminställningar,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,1ecea24bd9e4e2417b1ee4c2,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
168843b612e23e0c7401b29f,System Snapshots,Systemavbilder,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,7dcd3b60f5256b4218f40ff8,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
319104bcecc796bc97b18c71,Let's go!,Sätt igång!,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,3241ea4162c4399657f904ba,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
4a897cd2781a489d2c36fa16,Software Manager,Programhanterare,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,cfcbde2171d6bd4afac4de53,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
56d78a39b28c2751e1b5b4f5,Multimedia Codecs,Multimediakodekar,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,c27a42093c8a7b968438d616,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
5d63dd7f0b55d1d0cd194d65,Web Forums,Webbforum,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,e28afd5c3bf059cd2c78ac33,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
64489d12c17e927f0ccb67f6,Welcome,Välkommen,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,75ede3680e7bf1acd3ea36b4,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
6dc80eb0353fbb5154d8d2f6,Chat Room,Chattrum,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,c62c46a0f2bfc120950c1df5,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
71ceee213171acdca8368bf1,Show this dialog at startup,Visa denna dialogruta vid start,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,2fb46165d12521b00d6b7e61,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
8578daf46a1356ea7a50fe41,Firewall,Brandvägg,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,278ab4827b06b9e8365100c2,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
88fcee6f8776b5dcf84b9106,First Steps,Första stegen,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,437fdbb3278eb1d336693946,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
9d218928bb73edeff03cfb0e,Launch,Starta,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,0591a66c2ab9545ab9ffa914,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
a6c0d715a9417e0ec5e81fbd,Update Manager,Uppdateringshanterare,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,ef8654507865ba69d7c0d460,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
aa9ba3a61ed7fd9accd41f8b,New Features,Nya funktioner,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,b921c6ef0f5441be13c4c1bd,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
b4e52e302596a23f6780ffdd,Introduction to Linux Mint,Introduktion till Linux Mint,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,317938d3f09d35b280e6aa16,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
b704b2abcc06a33aa287f7d5,Help,Hjälp,Mint-Welcome,mintwelcome_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Welcome translation,project-context,da953903db6da6bfab894fee,review-commit,https://github.com/yeager/translations/blob/867f2aacbc1144c749cc7b2d9654b861937140e6/Mint-Welcome/mintwelcome_sv.po,53585fb4385e5fe61f1d5369be82f26300ae19e4e462a3d9ffdda1e2ae9519e7,{}
