id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
006c11e06d592a72dbea3821,Preferences,Inställningar,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,8140b9020d10bfef0ec77307,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
085446733829f9210d6e01ac,Real-time strategy,Realtidsstrategi,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,b2bff03642402d0df0e7687b,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
08820cc4d28f9535e241a567,Cannot install,Kan inte installeras,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,e6a1c2d4eb15f3eadf634632,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
0c0edb2159e61e2ed2dd861a,Not installed,Ej installerat,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,25c6f889ba0fc339dc8724dd,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
15f87db6cbdfeb3b94c3a2a5,First-person,Förstapersons,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,93f7c4caddf13fe5aff9f790,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
1d12d625cc04510b201d5558,Installed,Installerat,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,c232c11d73a427a8f3ebf5ad,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
1f8aafef02deab37bafbf875,Science,Vetenskap,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,5e7ca76b28f4b558afc7b965,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
2071faddd17e539389a97c53,Categories,Kategorier,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,ffddb89dda67324ea576e31c,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
20ce3ba7660eee6428d50a1f,No screenshots available,Inga skärmbilder tillgängliga,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,4315a48c010e2d33252e2ba2,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
227252b83066f3d3ff2250a9,Remove,Ta bort,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,0043d99cb208cc3d54419d76,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
260bab3d11b01b40cef07516,Accessories,Tillbehör,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,edf193a90e5e5c9abf320b20,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
26470270a098361aa31db1d3,List all types,Visa alla typer,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,e741197a9dbd89174bd74a52,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
271f372322e928be2a0e3204,Electronics,Elektronik,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,be37936e83424a12470c15af,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
28326a39c65fca3ad8c23987,Programming,Programmering,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,30cd237d7e629aff93ca4720,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
2ce78b666df335a666c29027,Multimedia Codecs,Multimediakodekar,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,65b6cb27449fe45188203223,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
2f8d3c533fca553a3bcf5e80,Package types,Pakettyper,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,312585aff1a613bb1cb39b4a,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
30339720b5415cad65eec22f,Email,E-post,MintInstall,mintinstall_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintInstall translation,project-context,8cf2096691647ae5a52e6c67,review-commit,https://github.com/yeager/translations/blob/7453525cccabee17d894019926c157ad672136ab/MintInstall/mintinstall_sv.po,f7fa98d0d7fdba8d4284addfc4bf8cdb822125dbdf518a2e45cb331816c3704a,{}
