id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
080c6ff5a957d73baeb30a35,The checksum is correct,Kontrollsumman stämmer,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,fdb9e7a96b1eadca38fd477d,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
0923b325bee1e06d1f0575e1,SHA256 sums file,Fil med SHA256-summor,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,d857ec6e502000a679240096,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
0a11167963ad5a00326aa0c8,Make bootable USB stick,Skapa startbart USB-minne,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,55a54230ed599d1359d83e40,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
0a2a1fe6d500abe29ec8cf3d,Filesystem:,Filsystem:,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,b871cfc270561ee2f5dc0473,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
0b7f6a7875a66e53df6b2f2a,Write,Skriv,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,11cd3b7bf791fc94da3eaf81,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
11e4b6a395e133d01ec3acb5,Volume:,Volym:,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,e3cceeddfecd92b80d539fb0,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
170d58ef72cb691258336950,Size:,Storlek:,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,2a921d7a7b6a68a8f2a0b5d8,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
19b25bca0ce03882625abfd5,Select Image,Välj avbild,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,9343a06773442b46ae6ec5a2,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
19c82b20525fe9ddb9a71d38,Checksum,Kontrollsumma,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,6d7f7d3ecbbf1b85e111eec3,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
1c6b5c8fe5dec48795bfd2a7,Select an image,Välj avbild,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,eaa03d6fe998090de129164a,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
20b850cac9b56ec20fe2cd31,SHA256 sum,SHA256-summa,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,878b74b19cc5684317a182d8,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
29396377748fe0bd22db275e,Make a bootable USB stick,Skapa ett startbart USB-minne,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,bd8a23db579cf477b26701d9,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
2b98b81ff1032b24f07bc550,URLs,Webbadresser,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,e9437cf25961fc889fce8e9d,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
3132a75f3326b482868a5f4d,Integrity check failed,Integritetskontrollen misslyckades,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,f0d869dcb5dc525cd0f18e83,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
324e0dfaf6a014c2ea50959d,Local files,Lokala filer,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,dc640cd1a6ea4a6f153b0e71,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
34b8512649e4d04bb423ae10,No volume ID found,Hittade inget volym-ID,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,2089ccd35155ac1470ba66eb,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
430b0802b69992881378ef3d,Select a USB stick,Välj ett USB-minne,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,2bc5941585490368a8e6a543,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
454ae3bf2a1d64749b9d641b,Unknown signature,Okänd signatur,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,7134bc4bd8b3129bc44d6e4b,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
4a6fd2f038f08420a1d79c71,Checksum files,Filer med kontrollsummor,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,d4b5c612ded5525b3f4ccc04,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
4ed7fb1826b60815de0a840d,Windows images require special processing.,Avbilder för Windows kräver särskild behandling.,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,d6479c3a73afae1f6f314b03,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
520548d1611f2b1ab88f9301,Checksum mismatch,Kontrollsumman stämmer inte,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,234f8dc590253983a1589b3e,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
53b2fce8b3f99b90cf2743d1,Format,Formatera,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,eb69754187f607b73a35ce9a,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
5859df230894b5fde7059f03,GPG signed file:,GPG-signerad fil:,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,98a94d744baacb09a19fbdce,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
5ed6fcf79b300dd7f1584493,ISO images,ISO-avbilder,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,283fc50e3f0c7e47d7e8f92b,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
6087b52c3c5e5cbadf476389,Authentication Error.,Autentiseringsfel.,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,16eefd7a0c00f2c67926b25b,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
6d678c4ed9237c1d912dca99,USB Image Writer,USB-avbildsskrivare,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,9770eaada0f6522026eee883,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
8782b8e57d14094bfea7cbc1,Check,Kontrollera,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,bcdb1fe22cf3196aa3246741,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
8bccf7612096bae648e7427d,USB stick:,USB-minne:,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,3eed1d78c727216586630c83,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
8e68960599ec356a69e6695b,bytes,byte,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,7fc8fa7d9e9bb3725b7656e2,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
8efe08fc41362702c69d3935,SHA256 sums file:,Fil med SHA256-summor:,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,d83ee8f4f9e62074c701d9dd,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
96f2cbbe83bab61b9486633e,Calculating...,Beräknar…,MintStick,mintstick_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish MintStick translation,project-context,420cfe3b5bfbe69743a045b4,review-commit,https://github.com/yeager/translations/blob/04fa4e913d87e12cd39e6c6f362cae3bf2d5a4be/MintStick/mintstick_sv.po,6b211920e3c61a14b8893408dd236bf3feb66edb8867e64a2355d6343aba2015,{}
