id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0078c6848cda7d24afb0d1bd,Include _subdirectories,Inkludera _undermappar,Nemo-Extensions,nemo-extensions_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Nemo Extensions translation,project-context,126f6486e5431e1533e54ea1,review-commit,https://github.com/yeager/translations/blob/3a7ab214a7c4d664f81b6c4522c34e798c4c6219/Nemo-Extensions/nemo-extensions_sv.po,ff9243af1a03ccf6864373c5a2da693543a8e025ab9b477cb161be513835d5e5,{}
0127ef7e107cf73f7e836296,Change a folder or file emblem,Byt mapp- eller filemblem,Nemo-Extensions,nemo-extensions_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Nemo Extensions translation,project-context,fb529f999dee48932bc95937,review-commit,https://github.com/yeager/translations/blob/3a7ab214a7c4d664f81b6c4522c34e798c4c6219/Nemo-Extensions/nemo-extensions_sv.po,ff9243af1a03ccf6864373c5a2da693543a8e025ab9b477cb161be513835d5e5,{}
022287bd7532eb4c8f36c453,Select a key to sign as:,Välj en nyckel att signera med:,Nemo-Extensions,nemo-extensions_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Nemo Extensions translation,project-context,7a4e6d0f0115c18ffa9dec94,review-commit,https://github.com/yeager/translations/blob/3a7ab214a7c4d664f81b6c4522c34e798c4c6219/Nemo-Extensions/nemo-extensions_sv.po,ff9243af1a03ccf6864373c5a2da693543a8e025ab9b477cb161be513835d5e5,{}
03a77867bc8bdc48e461c96b,Encrypt the selected files,Kryptera de valda filerna,Nemo-Extensions,nemo-extensions_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Nemo Extensions translation,project-context,528575f012180b8ff13a0cb1,review-commit,https://github.com/yeager/translations/blob/3a7ab214a7c4d664f81b6c4522c34e798c4c6219/Nemo-Extensions/nemo-extensions_sv.po,ff9243af1a03ccf6864373c5a2da693543a8e025ab9b477cb161be513835d5e5,{}
06c680f4248f3fdf4c7715a9,Height:,Höjd:,Nemo-Extensions,nemo-extensions_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Nemo Extensions translation,project-context,bba25532ed9c8fa278ca6a31,review-commit,https://github.com/yeager/translations/blob/3a7ab214a7c4d664f81b6c4522c34e798c4c6219/Nemo-Extensions/nemo-extensions_sv.po,ff9243af1a03ccf6864373c5a2da693543a8e025ab9b477cb161be513835d5e5,{}
0737a107fc7268b31ba578bc,Custom size:,Egen storlek:,Nemo-Extensions,nemo-extensions_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Nemo Extensions translation,project-context,3df9ea2e742064a9d7946958,review-commit,https://github.com/yeager/translations/blob/3a7ab214a7c4d664f81b6c4522c34e798c4c6219/Nemo-Extensions/nemo-extensions_sv.po,ff9243af1a03ccf6864373c5a2da693543a8e025ab9b477cb161be513835d5e5,{}
0823146da51ba830b56e74c2,Select an encoding name to use,Välj en teckenkodning att använda,Nemo-Extensions,nemo-extensions_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Nemo Extensions translation,project-context,2e36eaac767bb100efc8a9cc,review-commit,https://github.com/yeager/translations/blob/3a7ab214a7c4d664f81b6c4522c34e798c4c6219/Nemo-Extensions/nemo-extensions_sv.po,ff9243af1a03ccf6864373c5a2da693543a8e025ab9b477cb161be513835d5e5,{}
09978179476fd6c52200dacb,Sharing Options,Utdelningsalternativ,Nemo-Extensions,nemo-extensions_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Nemo Extensions translation,project-context,a701a0b38abdc92ac392c061,review-commit,https://github.com/yeager/translations/blob/3a7ab214a7c4d664f81b6c4522c34e798c4c6219/Nemo-Extensions/nemo-extensions_sv.po,ff9243af1a03ccf6864373c5a2da693543a8e025ab9b477cb161be513835d5e5,{}
0bc9eefa0697514b419a0aab,Rotate each selected image,Rotera varje vald bild,Nemo-Extensions,nemo-extensions_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Nemo Extensions translation,project-context,03c2fabe809af5f5be8102d3,review-commit,https://github.com/yeager/translations/blob/3a7ab214a7c4d664f81b6c4522c34e798c4c6219/Nemo-Extensions/nemo-extensions_sv.po,ff9243af1a03ccf6864373c5a2da693543a8e025ab9b477cb161be513835d5e5,{}
10455f3812e8cd7f6e4c6d77,Loading...,Läser in…,Nemo-Extensions,nemo-extensions_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Nemo Extensions translation,project-context,e0064b44f5f2490089cb0a88,review-commit,https://github.com/yeager/translations/blob/3a7ab214a7c4d664f81b6c4522c34e798c4c6219/Nemo-Extensions/nemo-extensions_sv.po,ff9243af1a03ccf6864373c5a2da693543a8e025ab9b477cb161be513835d5e5,{}
