id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
00048a86445cdbebe122bc44,Public ports to local,Koppla publika portar till lokala portar,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,0ff55c88cd8c24c8f10ac908,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
044fb095e365c1743a58fdaa,Link,Länk,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,b77154874e5becb99cef9628,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
227c7412ce7a35a8ea999b29,Destination address,Destinationens adress,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,ea5a01afbdc0536333511519,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
32b0b6fe29356d6634eae70e,Hook Script,Hook-skript,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,5de4e7b808d04537d30b2a7a,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
6704bc9ea7b16202d4736820,Description,Beskrivning,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,3807105be4477401407db843,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
6dc098c79d69877bd807a51c,Tor onion router,Tor Onion-router,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,cccd1cb7d13a878f81f0ed73,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
71b69f00301815eed688a296,Tor Onion router,Tor Onion-router,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,b80e358e77c488778ff0f496,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
8227e834e9c16a98278837df,Include configs,Inkludera konfigurationsfiler,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,1bc3e4cfa5e5b4df25ce5852,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
d272efee2ca9ecb4d39f2c6a,Enabled,Aktiverad,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,37c538e7daf497c561d5f2b8,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
d7e226362d24682789fc1645,Tor Onion Services,Tor Onion-tjänster,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,7be089b982e99b371c3775a7,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
e66191c423c7b97904fb97c2,Grant UCI access for luci-app-tor,Ge luci-app-tor åtkomst till UCI,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,83fdf6ec66f3f4510a0d06ae,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
ea4ca97723480d09a5a88648,Onion domain,Onion-domän,OpenWrt-LuCI-Tor,openwrt-tor_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish OpenWrt LuCI Tor translation,project-context,acde092d5c0fc54e3f954832,review-commit,https://github.com/yeager/translations/blob/412ceb0d09fe20a23d6e62ee9b576ec75b1ad6d4/OpenWrt-LuCI-Tor/openwrt-tor_sv.po,60150ca23357827533b53e6c4290c83e98bead444ed6fa3f407ba64a26dda7ea,{}
