id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
009a8efa230324d360832d4f,WebSocket Connection,WebSocket-anslutning,Paperless-ngx,qa-reviewed-20260920,5921685253729220446,,project-context,1b6ed95ba7ad1d2ee55d1ba8,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
01b054bb0d1e43fa04226d0f,Create share link bundle,Skapa delningslänkpaket,Paperless-ngx,qa-reviewed-20260920,1070687661569746428,,project-context,ce83096f47c16dabb1354d43,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
03148ac9eaf8e6bf1652bab7,Toggle tag filter,Växla taggfilter,Paperless-ngx,qa-reviewed-20260920,3661756380991326939,,project-context,a99c4be202e6da2f5887f267,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
05895f39dee2153ca4683d34,Remote OCR Engine,Motor för fjärr-OCR,Paperless-ngx,qa-reviewed-20260920,5678133106751323155,,project-context,e68bb42ec4fca73240fa1bd8,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
087300f98857b29f99c674df,Enables splitting on tag barcodes,Aktiverar delning vid taggstreckkoder,Paperless-ngx,qa-reviewed-20260920,Enables splitting on tag barcodes,,project-context,4fc780678821c59f408a1691,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
09b70592d38d0c6d90bf29b0,The share link bundle is unavailable.,Delningslänkpaketet är inte tillgängligt.,Paperless-ngx,qa-reviewed-20260920,The share link bundle is unavailable.,,project-context,275264f4abbe112c270881aa,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
0b11f7e72487d3534b738910,remove all storage paths,Ta bort alla lagringsvägar,Paperless-ngx,qa-reviewed-20260920,remove all storage paths,,project-context,07cd6504fc6806908c2cb71f,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
0bb3f67eef6724b723378beb,does not have these tag(s),har inte dessa taggar,Paperless-ngx,qa-reviewed-20260920,does not have these tag(s),,project-context,4f1678368605ef922d8c4a16,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
0e301b647433d28f4e5f2ba2,Share link deleted.,Delningslänken har tagits bort.,Paperless-ngx,sv-published-20260918,326120283142363299,,project-context,848d382ec7feb171cb9a1a58,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/sv-published-20260918.json,a5c66a43df7b3fd8c2f52b8102b9ce5d321f9adf0b33bc5b68158c450ef6cfbd,{}
0fdfcddc976103bdaac9d736,Controls archive file generation,Styr genereringen av arkivfiler,Paperless-ngx,qa-reviewed-20260920,Controls archive file generation,,project-context,eb173f2cdf3b3d0e1d7ccaca,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
124ee5424df4a9078142816f,Regenerate auth token,Generera om autentiseringstoken,Paperless-ngx,qa-reviewed-20260920,595732867213154214,,project-context,8c406d2aef19afbd15fb8f73,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
145f7f1a548dfdfc97e1a088,uid validity,uid-giltighet,Paperless-ngx,qa-reviewed-20260920,uid validity,,project-context,c9d81dcdfb5e8541619ba3be,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
16932fba6aa31536b42c8878,LLM Endpoint,LLM-slutpunkt,Paperless-ngx,qa-reviewed-20260920,6126617860376156501,,project-context,d976bac09e49bf4358f54d48,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
17afce780cdfca65d00ec344,Failed to load share link bundles.,Misslyckades med att ladda delningslänkpaket.,Paperless-ngx,qa-reviewed-20260920,1541995860059283227,,project-context,b8be64ddac0629f15e16c04e,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
195f618eaa120ace6c243434,API Upload,API-uppladdning,Paperless-ngx,qa-reviewed-20260920,API Upload,,project-context,5dd7fa2220736c72759ae920,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
196b2f65b726eef46ce47c5a,"Access system status, logs, Django backend","Åtkomst till systemstatus, loggar och Django-serverdel",Paperless-ngx,sv-published-20260918,5409927574404161431,,project-context,67241db0e5f8feeb019bc2a0,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/sv-published-20260918.json,a5c66a43df7b3fd8c2f52b8102b9ce5d321f9adf0b33bc5b68158c450ef6cfbd,{}
1a1332d449830bb688e74e49,OAuth2 authentication success,OAuth2-autentisering lyckades,Paperless-ngx,qa-reviewed-20260920,763945516325093575,,project-context,35df5d4b343694789ac8c8a0,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
1af57783ed0a2bd0378bc906,Share link bundle deleted.,Delningslänkpaketet har tagits bort.,Paperless-ngx,qa-reviewed-20260920,7268517108785510779,,project-context,f84b8cd53bc64438216dcacf,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
1c09f20d9072fddde33eb34f,Webhook headers,Webhook-rubriker,Paperless-ngx,qa-reviewed-20260920,3829826512656746316,,project-context,a7fc3c2b1cc6541c2324dc04,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
1ed8bc4a8d97e40df28c1b41,Remote OCR Endpoint,Slutpunkt för fjärr-OCR,Paperless-ngx,qa-reviewed-20260920,8592973963881683840,,project-context,46ee318ba84772ad0eca5f98,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
1fa54bddea90cba9cbd307cd,has these tag(s),har dessa taggar,Paperless-ngx,qa-reviewed-20260920,has these tag(s),,project-context,43bf992fbcba456646380529,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
209c4e6b4e2424daeb6e58a8,Totp deactivation failed,Inaktivering av TOTP misslyckades,Paperless-ngx,qa-reviewed-20260920,6439190193788239059,,project-context,c1d1782df4dbf919821c3494,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
223e9926297a7e6bf7f77e23,Catalan,Kataloniska,Paperless-ngx,qa-reviewed-20260920,Catalan,,project-context,8ba999d43336e4513fbe9a89,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
22787b9fb6c257c3883b7468,does not have these storage path(s),har inte dessa lagringsvägar,Paperless-ngx,qa-reviewed-20260920,does not have these storage path(s),,project-context,417eac389dd9eff55a638033,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
235dacc59b00afbcd70fc76a,Share link bundle creation requested.,Skapande av delningslänkpaket har begärts.,Paperless-ngx,qa-reviewed-20260920,6144801143088984138,,project-context,a7371196d78ab8c6ec459b1c,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
251f9ec8e1bbbafa71b0ecd3,Use 'slim' sidebar (icons only),Visa endast ikoner,Paperless-ngx,qa-reviewed-20260920,4608457133854405683,,project-context,fa4be88172ebb0f768b10a3a,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
25c7e0c98693f648a5372a9b,Error deleting share link bundle.,Fel vid borttagning av delningslänkpaketet.,Paperless-ngx,qa-reviewed-20260920,1490142629811806945,,project-context,c219debca93a9cd667f8a82a,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
267972ec4f16e288d61bcefd,Tag Mapping,Taggmappning,Paperless-ngx,qa-reviewed-20260920,3723784143052004117,,project-context,9fdbbfbbe3fcf507e5c358dd,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
2c1369412ab40af0809b7d28,Archive SHA256 checksum,SHA256-kontrollsumma för arkiv,Paperless-ngx,qa-reviewed-20260920,6714358112223607756,,project-context,90272d22e5e6fc17e4c5ef0d,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
2ffbe385bfd981a98b39b68a,Rotate Pages Threshold,Tröskelvärde för sidrotation,Paperless-ngx,qa-reviewed-20260920,8527188778859256947,,project-context,a4eaa5ae9c2e740f6473b541,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
336f4312da6e0f6fac72014f,Initiating upload...,Påbörjar uppladdning…,Paperless-ngx,qa-reviewed-20260920,5749300816154614125,,project-context,ba8732971923aff84922e148,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
3379232e7a502d94563d639f,webhook body,webhook-innehåll,Paperless-ngx,qa-reviewed-20260920,webhook body,,project-context,74f7e4d21709cea4f11ba2d8,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
34ebcb1009a6b6a102c4790a,Hide unowned,Dölj dokument utan ägare,Paperless-ngx,sv-published-20260918,8999708063434507268,,project-context,9ed02fff6de99b3453fe8daf,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/sv-published-20260918.json,a5c66a43df7b3fd8c2f52b8102b9ce5d321f9adf0b33bc5b68158c450ef6cfbd,{}
3560ad75b0666d9bf2dab32b,Enable TIFF Support,Aktivera TIFF-stöd,Paperless-ngx,qa-reviewed-20260920,5111693440737450705,,project-context,1e8e24f39f5a175d707d5cbb,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
35ef57bf0eaaa7eeca4141fb,Manage share link bundles,Hantera delningslänkpaket,Paperless-ngx,qa-reviewed-20260920,7274497464693086242,,project-context,4c8029c9dc1c21a8e4917b0a,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Paperless-ngx/qa-reviewed-20260920.json,8d54b1d069ebdb8665ef1d85e58199081a24405223ea1894f9911286adf98f89,{}
