id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0097b8704313a9189ca7ed94,universal IP rules,universella IP-regler,Rethink-DNS-Firewall,android-sv-proxy-activity-suggestions-20260919,,,project-context,f289c8a2dd82532c29d75f6c,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-proxy-activity-suggestions-20260919.json,b7fe542022b3e10365df165ffb6e8fc3a3e012c6874cfce5ee5e2cb96de22d59,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-app-rules-suggestions-20260919.json"",""sha256"":""59bedde6929de5cb30416c030d45b720a5163f798422342eeb3e20c4dd0543d0""}"
0149dc262d39bb02ffd62a05,universal firewall rules,universella brandväggsregler,Rethink-DNS-Firewall,android-sv-proxy-activity-suggestions-20260919,,,project-context,151b1af0c031b4d024b6cca8,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-proxy-activity-suggestions-20260919.json,b7fe542022b3e10365df165ffb6e8fc3a3e012c6874cfce5ee5e2cb96de22d59,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-app-rules-suggestions-20260919.json"",""sha256"":""59bedde6929de5cb30416c030d45b720a5163f798422342eeb3e20c4dd0543d0""}"
04f487b812fb02028b7f74b2,Saving…,Sparar…,Rethink-DNS-Firewall,android-sv-final-security-suggestions-20260919,,,project-context,a8a8eaaa5f4dbf65b0db7c29,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-final-security-suggestions-20260919.json,d3767fd8cc591f9c189d327025a248bdf6e655dfed13896dd26ad1835bef1d3b,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-wireguard-suggestions-20260919.json"",""sha256"":""f48481c263ea3d767b8421770ff4a00ac08e01bf40376fdb1fbf8ca6c120f9de""}"
06073d0342b2a5c707e0d384,On,På,Rethink-DNS-Firewall,android-sv-activity-diagnostics-suggestions-20260919,,,project-context,6e09187d0c96aef872e9833c,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-activity-diagnostics-suggestions-20260919.json,063a8fde16be4d4f6fbf513960b5e4f2049da03bd0e641b7ebb6a51c69461348,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-diagnostics-suggestions-20260919.json"",""sha256"":""d7a96336e770e91bdb7ab2f04f8b6aa06c100a9fc098abbc43a2b4d350b5166d""}"
0753aba5f32f06109a1879b9,Resolver IP address (optional),Resolver-IP-adress (valfritt),Rethink-DNS-Firewall,android-sv-diagnostics-suggestions-20260919,,,project-context,f6e3f500263ff85f4acc7476,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-diagnostics-suggestions-20260919.json,d7a96336e770e91bdb7ab2f04f8b6aa06c100a9fc098abbc43a2b4d350b5166d,{}
075b1d875b850e510573dce7,Per-app firewall rules and network policy,Brandväggsregler och nätverkspolicy per app,Rethink-DNS-Firewall,android-sv-final-security-suggestions-20260919,,,project-context,d16b84f7820fe01df912dc0f,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-final-security-suggestions-20260919.json,d3767fd8cc591f9c189d327025a248bdf6e655dfed13896dd26ad1835bef1d3b,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-wireguard-suggestions-20260919.json"",""sha256"":""f48481c263ea3d767b8421770ff4a00ac08e01bf40376fdb1fbf8ca6c120f9de""}"
07768daea8f9ca97a34cb57b,Enable,Aktivera,Rethink-DNS-Firewall,android-sv-proxy-activity-suggestions-20260919,,,project-context,7546009fc25a97160b7a02c6,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-proxy-activity-suggestions-20260919.json,b7fe542022b3e10365df165ffb6e8fc3a3e012c6874cfce5ee5e2cb96de22d59,"{""artifact"":""https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-app-rules-suggestions-20260919.json"",""sha256"":""59bedde6929de5cb30416c030d45b720a5163f798422342eeb3e20c4dd0543d0""}"
0d4dc14db70fcf59ed0b21fd,"Activity grid, tap to view details","Aktivitetsruta, tryck för att visa detaljer",Rethink-DNS-Firewall,android-sv-settings-suggestions-20260919,,,project-context,4926ca0ff7e0bcf2e425f6a8,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-settings-suggestions-20260919.json,8e336afb50050dafdbfdb2ce999e093ec06f1cb9760187ee4bd1189f6accba64,{}
0da7deb252320f962968194d,1 day,1 dag,Rethink-DNS-Firewall,android-sv-settings-suggestions-20260919,,,project-context,4c186f590d298c562c93781c,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-settings-suggestions-20260919.json,8e336afb50050dafdbfdb2ce999e093ec06f1cb9760187ee4bd1189f6accba64,{}
10c252900dbcbbc3fd60f17d,Trusted,Betrodd,Rethink-DNS-Firewall,android-sv-app-rules-suggestions-20260919,,,project-context,46d9ba3a8eae437b4493befa,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Rethink-DNS-Firewall/android-sv-app-rules-suggestions-20260919.json,59bedde6929de5cb30416c030d45b720a5163f798422342eeb3e20c4dd0543d0,{}
