id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
003714ee927578dceae8e93f,Home,Startsida,SuiteCRM-Core,sv-inbound-email-810-published-20260919,$mod_strings['LBL_HOME'],,project-context,a0ae5353bebceef5b9ef3f13,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/SuiteCRM-Core/sv-inbound-email-810-published-20260919.json,8ff080143649204a50f3a20eee408535d517ed526e8c4bad972910fef8c046e2,{}
005a1f299b5bf5ff2e825f99,Import Contacts,Importera kontakter,SuiteCRM-Core,sv-contacts-final-810-published-20260919,$mod_strings['LNK_IMPORT_CONTACTS'],,project-context,e3633b964dc4fc2269937042,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/SuiteCRM-Core/sv-contacts-final-810-published-20260919.json,d978283a12dfb9b326a3d05a7e751d434c6e3ced5ebb9cf860d351c2ecd7f04d,{}
0079c856f4e956f995b9e776,New Outbound Email Accounts,Nya konton för utgående e-post,SuiteCRM-Core,sv-outbound-email-810-published-20260919,$mod_strings['LBL_NEW_FORM_TITLE'],,project-context,a9e79e5a69d2578a80cae202,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/SuiteCRM-Core/sv-outbound-email-810-published-20260919.json,971cdcc19e79f693c13cb15c9aee0f659a84a6c378a69f16b9dae9f6b2d70244,{}
00c1ec9df8aa135c96b220a1,Employees:,Anställda:,SuiteCRM-Core,sv-accounts-a-810-published-20260919,$mod_strings['LBL_EMPLOYEES'],,project-context,bb5fa0d098d0ac37af9d4ffb,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/SuiteCRM-Core/sv-accounts-a-810-published-20260919.json,ea12294a7550adccf7f3bd2ee5ba9c0f994224671cce0ee6ffbeaf4e4d1eedb2,{}
00f9d3faf5f6f482a1e0630c,Cancel,Avbryt,SuiteCRM-Core,sv-upgradewizard-810-published-20260919,$mod_strings['LBL_BUTTON_CANCEL'],,project-context,6395492035ca8107345569ab,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/SuiteCRM-Core/sv-upgradewizard-810-published-20260919.json,4c5e554ea18d559c3ec8998eb3613f5413dea4c4c95bb851b4a0695c85b6ef99,{}
00fbd53ee2d3cc12b92dbf30,Account List,Företagslista,SuiteCRM-Core,sv-accounts-final-810-published-20260919,$mod_strings['LBL_LIST_FORM_TITLE'],,project-context,787cadcd429622f4fa8f0559,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/SuiteCRM-Core/sv-accounts-final-810-published-20260919.json,f99b6b196fed5b4409a55d1296241bb29b890401afe16c0f8654ddadb9c6a43b,{}
010217dacf688f3ec08c9ef6,Perform Merge,Genomför sammanslagning,SuiteCRM-Core,sv-mergerecords-810-reviewed-20260919,$mod_strings['LBL_PERFORM_MERGE_BUTTON_LABEL'],,project-context,6e93a063e00fdc1df8994586,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/SuiteCRM-Core/sv-mergerecords-810-reviewed-20260919.json,91986f9f225ab70510f1d592ec7ab13d102e66d6e808c70be1487daa66289884,{}
0157d86f595308d404d3d689,Upgrade Scripts in Progress,Uppgraderingsskript körs,SuiteCRM-Core,sv-upgradewizard-810-published-20260919,$mod_strings['LBL_UPGRADE_SCRIPTS_IN_PROGRESS'],,project-context,94f3b7fd11c4758cfe3497ef,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/SuiteCRM-Core/sv-upgradewizard-810-published-20260919.json,4c5e554ea18d559c3ec8998eb3613f5413dea4c4c95bb851b4a0695c85b6ef99,{}
019aa1f4120c65bba6a4e4b2,Toggle All,Växla alla,SuiteCRM-Core,sv-published-20260918,$mod_strings['LBL_TOGGLE_ALL'],,project-context,d11888f16122419101755aa9,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/SuiteCRM-Core/sv-published-20260918.json,e4f7faaa5625d277e7a537f5b555c2fd753d326636e98deb288463e96d6356f7,{}
01a25330415acb09581939da,Disabled,Inaktiverad,SuiteCRM-Core,sv-acl-810-published-20260919,$mod_strings['LBL_ACCESS_DISABLED'],,project-context,d8a8fa0965817feff00c7f4c,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/SuiteCRM-Core/sv-acl-810-published-20260919.json,c3d79cc04f48d5a83982b3c13a5bf197dcb035625008d4cec3b1a07c4d7311de,{}
01b3099055c7bdd71eb5349d,Create Task,Skapa uppgift,SuiteCRM-Core,sv-dynamicfields-810-published-20260919,$mod_strings['LNK_NEW_TASK'],,project-context,c927b4f6945f68d88c8ff1e0,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/SuiteCRM-Core/sv-dynamicfields-810-published-20260919.json,d82b264795c3f57e63f446503845cb601f29790142b6abaaf61ca77271bb3c3f,{}
