id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
003c169235a345e90258fdcc,This billing plan covers following projects:,Faktureringsplanen täcker följande projekt:,Weblate-Hosted,hosted-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Weblate hosted interface,project-context,986f0171bf68478990a712c6,review-commit,https://github.com/yeager/translations/blob/1223c8ab9e1797e434ee3be13022d59a9f5f957d/Weblate-Hosted/hosted-sv.po,5295c90d28a0517a0c0cbc78f397698b209a263a4245aa9607629b84d279865a,{}
06ba4268f10153e7269f3c7f,Awaiting payment,Väntar på betalning,Weblate-Hosted,hosted-sv.po,Payment state,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Weblate hosted interface,project-context,20a5d5ed98e4473573cd6243,review-commit,https://github.com/yeager/translations/blob/1223c8ab9e1797e434ee3be13022d59a9f5f957d/Weblate-Hosted/hosted-sv.po,5295c90d28a0517a0c0cbc78f397698b209a263a4245aa9607629b84d279865a,{}
11a546125f2b440024cecd8d,Payment card,Betalkort,Weblate-Hosted,hosted-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Weblate hosted interface,project-context,9cb65e48b70674c1ca20e15b,review-commit,https://github.com/yeager/translations/blob/1223c8ab9e1797e434ee3be13022d59a9f5f957d/Weblate-Hosted/hosted-sv.po,5295c90d28a0517a0c0cbc78f397698b209a263a4245aa9607629b84d279865a,{}
125a10dfb0ff925370544686,Company or individual name,Företags- eller privatpersonsnamn,Weblate-Hosted,hosted-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Weblate hosted interface,project-context,78c4eb80c798d2b77b8ba2e8,review-commit,https://github.com/yeager/translations/blob/1223c8ab9e1797e434ee3be13022d59a9f5f957d/Weblate-Hosted/hosted-sv.po,5295c90d28a0517a0c0cbc78f397698b209a263a4245aa9607629b84d279865a,{}
15462f365efe84b833b0220b,IBAN bank transfer,IBAN banköverföring,Weblate-Hosted,hosted-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Weblate hosted interface,project-context,b8e0eb2b1e602b28938423b2,review-commit,https://github.com/yeager/translations/blob/1223c8ab9e1797e434ee3be13022d59a9f5f957d/Weblate-Hosted/hosted-sv.po,5295c90d28a0517a0c0cbc78f397698b209a263a4245aa9607629b84d279865a,{}
1d449e3d9406633c4e54eff8,Payment accepted,Betalning accepterad,Weblate-Hosted,hosted-sv.po,Payment state,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Weblate hosted interface,project-context,603d438421cb29b61a2a9147,review-commit,https://github.com/yeager/translations/blob/1223c8ab9e1797e434ee3be13022d59a9f5f957d/Weblate-Hosted/hosted-sv.po,5295c90d28a0517a0c0cbc78f397698b209a263a4245aa9607629b84d279865a,{}
2c216287e08a07bd87c217c4,Billing,Fakturering,Weblate-Hosted,hosted-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Weblate hosted interface,project-context,bea01ac3190fe7aa252fd0d8,review-commit,https://github.com/yeager/translations/blob/1223c8ab9e1797e434ee3be13022d59a9f5f957d/Weblate-Hosted/hosted-sv.po,5295c90d28a0517a0c0cbc78f397698b209a263a4245aa9607629b84d279865a,{}
2d5bb705f162d3a5dcce7bbf,Selected plan,Vald plan,Weblate-Hosted,hosted-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Weblate hosted interface,project-context,4d5af1940cf871692eaf0c19,review-commit,https://github.com/yeager/translations/blob/1223c8ab9e1797e434ee3be13022d59a9f5f957d/Weblate-Hosted/hosted-sv.po,5295c90d28a0517a0c0cbc78f397698b209a263a4245aa9607629b84d279865a,{}
30755260d046d48aaa945f41,Address,Adress,Weblate-Hosted,hosted-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Weblate hosted interface,project-context,2c640d905495b6fc7e11bb99,review-commit,https://github.com/yeager/translations/blob/1223c8ab9e1797e434ee3be13022d59a9f5f957d/Weblate-Hosted/hosted-sv.po,5295c90d28a0517a0c0cbc78f397698b209a263a4245aa9607629b84d279865a,{}
31b14c9dca5d0846dc3b983d,European VAT ID,Europeiskt moms-ID,Weblate-Hosted,hosted-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Weblate hosted interface,project-context,6c9b87166ae52666e97c6384,review-commit,https://github.com/yeager/translations/blob/1223c8ab9e1797e434ee3be13022d59a9f5f957d/Weblate-Hosted/hosted-sv.po,5295c90d28a0517a0c0cbc78f397698b209a263a4245aa9607629b84d279865a,{}
