id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0f93a8a6959f8582615567c5,Loading...,Läser in…,XApp,xapp_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,b226a7b126eb4063e7d8c7e3,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XApp/xapp_sv.po,f0c2979a6d9bedf73c08b5b2e7ab17adbabe622d4fa30db32f8ced14353522f6,{}
17bd1919849a57b7f719e303,Whether to allow paths.,Om du vill tillåta sökvägar.,XApp,xapp_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,5b791e0710e174d0337f93b1,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XApp/xapp_sv.po,f0c2979a6d9bedf73c08b5b2e7ab17adbabe622d4fa30db32f8ced14353522f6,{}
18a9a503c00bb1e293f3acaf,Other,Annan,XApp,xapp_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,8c497fab23ee555f701cf992,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XApp/xapp_sv.po,f0c2979a6d9bedf73c08b5b2e7ab17adbabe622d4fa30db32f8ced14353522f6,{}
1dfcab664071480d409eb7ac,Category,Kategori,XApp,xapp_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,4bfc389780e0d95872e45f13,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XApp/xapp_sv.po,f0c2979a6d9bedf73c08b5b2e7ab17adbabe622d4fa30db32f8ced14353522f6,{}
2057a6a47824c0c8e87c9a73,Cancel,Avbryt,XApp,xapp_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,4b3df642c3a8900d9b9a62aa,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XApp/xapp_sv.po,f0c2979a6d9bedf73c08b5b2e7ab17adbabe622d4fa30db32f8ced14353522f6,{}
2521a0f3a044959d392645ca,The preferred icon size.,Föredragen ikonstorlek.,XApp,xapp_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,ee9267848e368b556f916985,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XApp/xapp_sv.po,f0c2979a6d9bedf73c08b5b2e7ab17adbabe622d4fa30db32f8ced14353522f6,{}
34feadeee9deb4a012397bfb,Applications,Program,XApp,xapp_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,b647da2c86cfca89bb9101eb,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XApp/xapp_sv.po,f0c2979a6d9bedf73c08b5b2e7ab17adbabe622d4fa30db32f8ced14353522f6,{}
3541d6adc0810f71296cbb7d,Icon,Ikon,XApp,xapp_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,efc2b8947e8fd2dfef279de8,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XApp/xapp_sv.po,f0c2979a6d9bedf73c08b5b2e7ab17adbabe622d4fa30db32f8ced14353522f6,{}
38797da13a3984bcd73225ae,Categories,Kategorier,XApp,xapp_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,66c4a91231a1d8f452cff88f,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XApp/xapp_sv.po,f0c2979a6d9bedf73c08b5b2e7ab17adbabe622d4fa30db32f8ced14353522f6,{}
3ee14f416ee4cc039b1f97ba,Operation not supported,Stöd saknas för denna åtgärd,XApp,xapp_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,5582263de4fe9ed6b882b8ba,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XApp/xapp_sv.po,f0c2979a6d9bedf73c08b5b2e7ab17adbabe622d4fa30db32f8ced14353522f6,{}
