id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0714e0b0dc87a3454d0a635a,Header appendix,Appendixrubrik,Xed,xed-sv.po,,Bilingual translation changed in reviewed commit: Review Swedish Xed tag and markup terminology,project-context,94bb7cc57c23873afa66eb9e,review-commit,https://github.com/yeager/translations/blob/049ec08e38cf7e955162b42ce08a0734e7bb766c/Xed/xed-sv.po,85c6acde5a3078509c78eb39ab0a012e99bec6cb075013975e62ba305c253527,{}
07c578435960a32a818a61d9,OnMouseMove event,Musförflyttningshändelse,Xed,xed-sv.po,,Bilingual translation changed in reviewed commit: Review Swedish Xed tag and markup terminology,project-context,4fe1879587b12c14792a5ba2,review-commit,https://github.com/yeager/translations/blob/049ec08e38cf7e955162b42ce08a0734e7bb766c/Xed/xed-sv.po,85c6acde5a3078509c78eb39ab0a012e99bec6cb075013975e62ba305c253527,{}
1507e82584f86b2766539bca,Brackets [],Hakparenteser [],Xed,xed-sv.po,,Bilingual translation changed in reviewed commit: Review Swedish Xed tag and markup terminology,project-context,49e73968fef57bc9916dc280,review-commit,https://github.com/yeager/translations/blob/049ec08e38cf7e955162b42ce08a0734e7bb766c/Xed/xed-sv.po,85c6acde5a3078509c78eb39ab0a012e99bec6cb075013975e62ba305c253527,{}
27c69611507507f146e16c6a,Symbol infinity,Symbolen oändlighet,Xed,xed-sv.po,,Bilingual translation changed in reviewed commit: Review Swedish Xed tag and markup terminology,project-context,73bb5bd776ea62cee780a48c,review-commit,https://github.com/yeager/translations/blob/049ec08e38cf7e955162b42ce08a0734e7bb766c/Xed/xed-sv.po,85c6acde5a3078509c78eb39ab0a012e99bec6cb075013975e62ba305c253527,{}
2bfc5a63be3d4cc335d1ada5,Symbol d2-by-dt2-partial,Symbolen d2-by-dt2-partial,Xed,xed-sv.po,,Bilingual translation changed in reviewed commit: Review Swedish Xed tag and markup terminology,project-context,f37d8634d03481c294e45452,review-commit,https://github.com/yeager/translations/blob/049ec08e38cf7e955162b42ce08a0734e7bb766c/Xed/xed-sv.po,85c6acde5a3078509c78eb39ab0a012e99bec6cb075013975e62ba305c253527,{}
337bab0f5ac57a79616f7aeb,Brackets (),Parenteser (),Xed,xed-sv.po,,Bilingual translation changed in reviewed commit: Review Swedish Xed tag and markup terminology,project-context,678785ea63746a395f5d63e2,review-commit,https://github.com/yeager/translations/blob/049ec08e38cf7e955162b42ce08a0734e7bb766c/Xed/xed-sv.po,85c6acde5a3078509c78eb39ab0a012e99bec6cb075013975e62ba305c253527,{}
35859f1907a6db32471357be,OnMouseOver event,Musinträdeshändelse,Xed,xed-sv.po,,Bilingual translation changed in reviewed commit: Review Swedish Xed tag and markup terminology,project-context,a0ac53f2de58fb8fa8c356a0,review-commit,https://github.com/yeager/translations/blob/049ec08e38cf7e955162b42ce08a0734e7bb766c/Xed/xed-sv.po,85c6acde5a3078509c78eb39ab0a012e99bec6cb075013975e62ba305c253527,{}
367dd269837a3cbf7d6193be,Encode type,Kodningstyp,Xed,xed-sv.po,,Bilingual translation changed in reviewed commit: Review Swedish Xed tag and markup terminology,project-context,7091ffc0d0a9d7727e7eef26,review-commit,https://github.com/yeager/translations/blob/049ec08e38cf7e955162b42ce08a0734e7bb766c/Xed/xed-sv.po,85c6acde5a3078509c78eb39ab0a012e99bec6cb075013975e62ba305c253527,{}
3bc50488cbd74283bcea4a73,Typeface bold,Fetstil,Xed,xed-sv.po,,Bilingual translation changed in reviewed commit: Review Swedish Xed tag and markup terminology,project-context,ce562e576430ad551e718d2e,review-commit,https://github.com/yeager/translations/blob/049ec08e38cf7e955162b42ce08a0734e7bb766c/Xed/xed-sv.po,85c6acde5a3078509c78eb39ab0a012e99bec6cb075013975e62ba305c253527,{}
44d93d494d559f3059018b23,Symbol em-dash ---,Symbolen em-streck ---,Xed,xed-sv.po,,Bilingual translation changed in reviewed commit: Review Swedish Xed tag and markup terminology,project-context,60a85cfe3b7f9e9e607f5faf,review-commit,https://github.com/yeager/translations/blob/049ec08e38cf7e955162b42ce08a0734e7bb766c/Xed/xed-sv.po,85c6acde5a3078509c78eb39ab0a012e99bec6cb075013975e62ba305c253527,{}
