id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0cc4f5d92546f1c10cc3a67b,Icon sizes,Ikonstorlekar,XFCE4-XApp-Status-Plugin,xfce4-xapp-status-plugin_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,2ab19fe1b86bfb3d927fbd3c,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XFCE4-XApp-Status-Plugin/xfce4-xapp-status-plugin_sv.po,0f00c8dee42b58928fb7ea43b027fc283013fb3ac39e8b7a4a4f3c0e36a8b33e,{}
0e26b12e8d8f902517dd67b5,Use optimal size for panel,Använd optimal storlek för panelen,XFCE4-XApp-Status-Plugin,xfce4-xapp-status-plugin_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,999246b6bd511e8fe0ed4398,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XFCE4-XApp-Status-Plugin/xfce4-xapp-status-plugin_sv.po,0f00c8dee42b58928fb7ea43b027fc283013fb3ac39e8b7a4a4f3c0e36a8b33e,{}
17b412a2a5fe8032b6f9306b,18px,18 px,XFCE4-XApp-Status-Plugin,xfce4-xapp-status-plugin_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,aaefd3b759b25d862ee9d24f,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XFCE4-XApp-Status-Plugin/xfce4-xapp-status-plugin_sv.po,0f00c8dee42b58928fb7ea43b027fc283013fb3ac39e8b7a4a4f3c0e36a8b33e,{}
1c2b1457d7daf060d717df36,16px,16 px,XFCE4-XApp-Status-Plugin,xfce4-xapp-status-plugin_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,118d44a8ae41d83109caefdf,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XFCE4-XApp-Status-Plugin/xfce4-xapp-status-plugin_sv.po,0f00c8dee42b58928fb7ea43b027fc283013fb3ac39e8b7a4a4f3c0e36a8b33e,{}
39f7891352a0fd79f596e4b9,XApp Status Plugin,XApp-statusinsticksprogram,XFCE4-XApp-Status-Plugin,xfce4-xapp-status-plugin_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,6abc49098dfd86839780dc4c,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XFCE4-XApp-Status-Plugin/xfce4-xapp-status-plugin_sv.po,0f00c8dee42b58928fb7ea43b027fc283013fb3ac39e8b7a4a4f3c0e36a8b33e,{}
3c3eb2881392538250785dc5,Color,Färg,XFCE4-XApp-Status-Plugin,xfce4-xapp-status-plugin_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,47b992e84d12feda204b48f8,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XFCE4-XApp-Status-Plugin/xfce4-xapp-status-plugin_sv.po,0f00c8dee42b58928fb7ea43b027fc283013fb3ac39e8b7a4a4f3c0e36a8b33e,{}
53fe6f61418af226f6c27841,About,Om,XFCE4-XApp-Status-Plugin,xfce4-xapp-status-plugin_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,08b23e01a94fa10e28858cdc,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XFCE4-XApp-Status-Plugin/xfce4-xapp-status-plugin_sv.po,0f00c8dee42b58928fb7ea43b027fc283013fb3ac39e8b7a4a4f3c0e36a8b33e,{}
7d9fa9cce91d5567796d9c60,24px,24 px,XFCE4-XApp-Status-Plugin,xfce4-xapp-status-plugin_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a7a2b14ab6d8b142d127486b,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XFCE4-XApp-Status-Plugin/xfce4-xapp-status-plugin_sv.po,0f00c8dee42b58928fb7ea43b027fc283013fb3ac39e8b7a4a4f3c0e36a8b33e,{}
924c9001b94435e5ce3500ab,32px,32 px,XFCE4-XApp-Status-Plugin,xfce4-xapp-status-plugin_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,678a9668593375b55f3a9a06,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XFCE4-XApp-Status-Plugin/xfce4-xapp-status-plugin_sv.po,0f00c8dee42b58928fb7ea43b027fc283013fb3ac39e8b7a4a4f3c0e36a8b33e,{}
c95ebd406ba1c09787ceff5c,22px,22 px,XFCE4-XApp-Status-Plugin,xfce4-xapp-status-plugin_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,b860a35662b080a9d5a76682,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/XFCE4-XApp-Status-Plugin/xfce4-xapp-status-plugin_sv.po,0f00c8dee42b58928fb7ea43b027fc283013fb3ac39e8b7a4a4f3c0e36a8b33e,{}
