id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
004d5df0bdca99dc7f275b55,Input Device,Inmatningsenhet,Zrythm,User-Manual,,,project-context,7aec17b9f9abd79d6edf0ecd,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Zrythm/User-Manual/user-manual-sv-batch18-20260920.json,77a076eb0e021f4755a667d411605b65f14d6661ea7848f5ecf000d8e4261a44,"{""artifact"":""https://hosted.weblate.org/api/units/25769979/"",""sha256"":""9437ea6de19019c36abcf86c20316b2d85f190a4e8c0c9b0a0abf2d2910e82c2""}"
009a1a50582e8d6e3c415232,Nudge,Förskjut,Zrythm,User-Manual,,,project-context,1d50df56a60b1b3b3c23fe50,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Zrythm/User-Manual/user-manual-sv-batch48-20260920.json,dd9a6bf656f591aacc51c63f2f9eb03b73abda1fcb1be5abd57b6382b2ec9475,"{""artifact"":""https://hosted.weblate.org/api/units/74428345/"",""sha256"":""fa0c989b1e1e0feb9bae656e4b7e1d466c24fc5f4a554f452f229072baabe5d4""}"
00ad21e76229acfbe2392acd,SoundFonts as Plugins,SoundFonts som insticksmoduler,Zrythm,Web,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,8c940af0d237052ecb1f56a0,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Zrythm/Web/web-sv-reviewed-20260920.po,35f93db391c3719eb96a9ae0d8f84ff25281b486b31c3cf920e147e9a8213203,{}
00b83d5de4db6d608c1c386f,Audio Group Track,Ljudgruppspår,Zrythm,User-Manual,,,project-context,5953964725f9491841f66022,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Zrythm/User-Manual/user-manual-sv-batch16-20260920.json,8695a0624d34333bceaca87261b5a6a34244f6bcdd3143d0abac66e23577098c,"{""artifact"":""https://hosted.weblate.org/api/units/25769906/"",""sha256"":""b31d07d3ef40277915752971045767110d976d1b5d1b3d3d85f1a542da4e3527""}"
00d2d2321c3886e118a88deb,Failed to apply plugin,Det gick inte att tillämpa insticksprogrammet,Zrythm,zrythm-sv-reviewed-20260920,"QObject
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,f395c245d7a7f5d60053606f,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Zrythm/zrythm-sv-reviewed-20260920.ts,86680a2f9c9b92306f0a24118bfd6064b4f95fea59ffe5078ee692e2bf170911,{}
00fb656c3a5df02da6040a82,Cloning (Copy-Moving) Objects,"Klona objekt, kopiera och flytta",Zrythm,User-Manual,,,project-context,89543cb2c247ddac32cdae38,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Zrythm/User-Manual/user-manual-sv-batch26-20260920.json,8b585bb7e2c1d6274b60535bfcda3d9431a1ea9dd898f1ad9f14d3092cd8bf71,"{""artifact"":""https://hosted.weblate.org/api/units/26470801/"",""sha256"":""20447911113f50c1c35c7133f5aaf99aa084f8c17a578a899cd161fe699438aa""}"
01a0b256ddc3d0dd9db77e5e,Zoom In,Zooma in,Zrythm,zrythm-sv-reviewed-20260920,"ChordEditorPane
","Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,3b2dfa4aaf8103871f64af37,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Zrythm/zrythm-sv-reviewed-20260920.ts,86680a2f9c9b92306f0a24118bfd6064b4f95fea59ffe5078ee692e2bf170911,{}
0203e8b987f5e3adde292ded,Piano Roll Section,Avsnitt för pianorullen,Zrythm,User-Manual,,,project-context,0b570c10f116b5ff6d1715a2,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Zrythm/User-Manual/user-manual-sv-fuzzy-batch10-20260920.json,fbd2013a9744298f1dd1cafa74f6d7e9a1356b016c3c3c71822906c2ae26edd8,"{""artifact"":""https://hosted.weblate.org/api/units/121265810/"",""sha256"":""fcca60d38ee5bc3c55ea26a0571b018ec1ba09d8cf32b374430accb1a054e9f4""}"
02097634a315e0b33ec01e93,MIDI FX Track,MIDI-effektspår,Zrythm,User-Manual,,,project-context,e2969665e86f593d6cfcc0d7,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Zrythm/User-Manual/user-manual-sv-batch16-20260920.json,8695a0624d34333bceaca87261b5a6a34244f6bcdd3143d0abac66e23577098c,"{""artifact"":""https://hosted.weblate.org/api/units/25769886/"",""sha256"":""dbf010799e6225cd45b42368239c6214bc079147ee0d2ed7124f236d3596c9c7""}"
022b5af0cf3b6baee594f30d,Editing a connection,Redigera en anslutning,Zrythm,User-Manual,,,project-context,86ca363a594e4a5d1dd7b665,reviewed-suggestion,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Zrythm/User-Manual/user-manual-sv-fuzzy-batch4-20260920.json,4dc83574c81cf2ba3976f1e5b0ada5feb4ced645abcc20064f082d7134215f85,"{""artifact"":""https://hosted.weblate.org/api/units/74428579/"",""sha256"":""4e7ca16037d5c03182c54cc06a1f2623d5a5bb07189067dbf4e7e707019e04c0""}"
